District,Number_of_Cases,Week_Start_Date,Month,Year,Week,Week_End_Date,Avg Max Temp (°C),Avg Min Temp (°C),Avg Apparent Max Temp (°C),Avg Apparent Min Temp (°C),Total Precipitation (mm),Total Rain (mm),Avg Wind Speed (km/h),Max Wind Gusts (km/h),Weather Code,Avg Daylight Duration (hours),Avg Sunrise Time,Avg Sunset Time
Ampara,0,1/1/2007,1,2007,1,1/8/2007,26.9375,21.8625,28.85,24.1,8,8,18.2,44.3,3,11.71458333,376,1079
Ampara,0,1/8/2007,1,2007,2,1/15/2007,26.35,23.325,30.2625,26.7,86.1,86.1,17.025,43.6,53,11.73333333,378,1082
Ampara,0,1/15/2007,1,2007,3,1/22/2007,27.2125,23.1625,29.575,25.9625,3.1,3.1,20.1875,48.2,51,11.75416667,380,1085
Ampara,0,1/22/2007,1,2007,4,1/29/2007,26.725,23.0375,29.95,26.1125,53.6,53.6,17.2,42.5,61,11.78333333,381,1088
Ampara,0,1/29/2007,1,2007,5,2/5/2007,27.3625,22.9625,30.75,26.125,8.2,8.2,17.2625,40,51,11.8125,382,1090
Ampara,0,2/5/2007,2,2007,6,2/12/2007,27.8625,21.775,31.8875,25.2625,10.3,10.3,15.025,36.4,51,11.85625,381,1092
Ampara,0,2/12/2007,2,2007,7,2/19/2007,29,23.475,34.2375,27.575,5.3,5.3,11.95,40.3,51,11.89583333,380,1093
Ampara,0,2/19/2007,2,2007,8,2/26/2007,27.9375,23.3,30.775,26.4125,8.4,8.4,18.4,47.5,51,11.9375,377,1094
Ampara,1,2/26/2007,2,2007,9,3/5/2007,29.2875,22.825,34.5875,26.85,3.9,3.9,13.475,38.9,1,11.99166667,375,1095
Ampara,0,3/5/2007,3,2007,10,3/12/2007,29.15,22,33.6875,25.35,5.5,5.5,15,38.9,1,12.02916667,372,1094
Ampara,0,3/12/2007,3,2007,11,3/19/2007,29.325,23.275,34.6,27.9,16.2,16.2,14.1625,36,51,12.075,369,1094
Ampara,0,3/19/2007,3,2007,12,3/26/2007,30.8125,21.6125,35.775,24.9,0,0,13.0625,33.5,1,12.12083333,366,1093
Ampara,0,3/26/2007,3,2007,13,4/2/2007,31.075,22.65,36.725,26.75,2.2,2.2,13.225,33.5,1,12.17083333,362,1092
Ampara,0,4/2/2007,4,2007,14,4/9/2007,29.575,24.425,35.1,29.475,89.7,89.7,12.5375,36,63,12.21666667,359,1092
Ampara,0,4/9/2007,4,2007,15,4/16/2007,28.1875,23.95,33.5875,28.5,104,104,11.95,35.6,61,12.2625,355,1091
Ampara,0,4/16/2007,4,2007,16,4/23/2007,30.575,24.8125,37.475,29.925,16.9,16.9,9.7,31.3,53,12.30625,352,1091
Ampara,0,4/23/2007,4,2007,17,4/30/2007,31.15,24.7625,38.625,30.05,25.3,25.3,10.225,29.2,53,12.35,350,1091
Ampara,0,4/30/2007,4,2007,18,5/7/2007,31.7375,25.5125,39.6625,31.1625,36.3,36.3,9.675,28.4,63,12.3875,348,1091
Ampara,0,5/7/2007,5,2007,19,5/14/2007,32.6875,25.6875,39.975,30.8,13.7,13.7,11.8125,31.3,3,12.42708333,346,1092
Ampara,0,5/14/2007,5,2007,20,5/21/2007,33.525,25.4,39.8125,29.7125,4.2,4.2,14.1875,36.4,1,12.4625,345,1093
Ampara,0,5/21/2007,5,2007,21,5/28/2007,32.6375,26.0875,39.4125,30.75,22,22,13.3625,40.7,51,12.48958333,345,1094
Ampara,0,5/28/2007,5,2007,22,6/4/2007,32.5125,25.7625,39.925,31.4625,12.7,12.7,10.475,37.8,51,12.5125,345,1095
Ampara,1,6/4/2007,6,2007,23,6/11/2007,32.45,25.9,39.85,31.0875,31.8,31.8,11.8,39.2,63,12.53125,345,1097
