time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,29.0,23.4,34.4,27.8,1.3,1.3,16.2,32.8,51,42130.86,2024-12-28T06:13,2024-12-28T17:55
2024-12-29,28.1,23.6,33.2,27.6,8.9,8.9,13.8,29.5,63,42134.89,2024-12-29T06:14,2024-12-29T17:56
2024-12-30,28.0,23.5,32.6,28.0,16.4,16.4,14.7,29.2,63,42139.44,2024-12-30T06:14,2024-12-30T17:57
2024-12-31,25.7,23.2,30.5,27.4,38.6,38.6,15.5,30.6,63,42144.48,2024-12-31T06:15,2024-12-31T17:57
2025-01-01,26.0,23.4,30.6,27.3,45.5,45.5,18.0,36.7,63,42150.02,2025-01-01T06:15,2025-01-01T17:58
2025-01-02,27.6,23.1,30.9,27.3,5.9,5.9,16.6,31.3,61,42156.04,2025-01-02T06:16,2025-01-02T17:58
2025-01-03,28.9,23.5,31.8,26.5,0.2,0.2,20.9,39.6,51,42162.55,2025-01-03T06:16,2025-01-03T17:59
2025-01-04,27.7,22.8,30.3,25.5,0.0,0.0,16.0,32.8,3,42169.54,2025-01-04T06:16,2025-01-04T17:59
2025-01-05,29.1,22.4,33.1,25.0,0.0,0.0,14.7,28.1,3,42176.99,2025-01-05T06:17,2025-01-05T18:00
2025-01-06,29.0,22.0,33.3,24.7,0.0,0.0,14.1,27.0,3,42184.91,2025-01-06T06:17,2025-01-06T18:00
2025-01-07,28.4,22.9,33.8,26.9,2.3,2.3,13.4,26.3,53,42193.29,2025-01-07T06:17,2025-01-07T18:01
2025-01-08,28.3,23.2,33.4,27.6,2.5,2.5,15.0,29.5,53,42202.22,2025-01-08T06:18,2025-01-08T18:01
2025-01-09,28.0,23.4,32.5,27.4,1.6,1.6,18.1,34.9,51,42211.73,2025-01-09T06:18,2025-01-09T18:02
2025-01-10,27.6,23.4,31.8,27.4,2.4,2.4,19.8,37.1,53,42221.78,2025-01-10T06:18,2025-01-10T18:02
2025-01-11,25.2,22.7,29.5,25.9,44.4,44.4,22.5,40.7,65,42232.37,2025-01-11T06:19,2025-01-11T18:03
2025-01-12,27.6,22.9,32.0,27.3,19.6,19.6,15.3,35.3,63,42243.48,2025-01-12T06:19,2025-01-12T18:03
2025-01-13,28.5,22.5,33.2,26.9,11.0,11.0,20.4,38.5,61,42255.07,2025-01-13T06:19,2025-01-13T18:03
2025-01-14,25.2,22.6,30.0,27.1,28.9,28.9,12.8,24.1,63,42267.14,2025-01-14T06:19,2025-01-14T18:04
2025-01-15,27.1,22.9,31.1,27.5,12.4,12.4,14.4,31.0,61,42279.66,2025-01-15T06:20,2025-01-15T18:04
2025-01-16,27.5,22.6,31.5,26.8,14.9,14.9,18.7,37.8,63,42292.61,2025-01-16T06:20,2025-01-16T18:05
2025-01-17,27.9,23.0,31.5,26.7,1.9,1.9,21.6,41.8,53,42305.98,2025-01-17T06:20,2025-01-17T18:05
2025-01-18,25.7,23.5,30.4,27.4,21.5,21.5,16.7,34.6,63,42319.74,2025-01-18T06:20,2025-01-18T18:06
2025-01-19,25.1,22.4,29.6,26.6,63.4,63.4,14.9,29.2,63,42333.87,2025-01-19T06:21,2025-01-19T18:06
2025-01-20,28.8,22.9,32.4,26.8,6.0,6.0,19.4,36.7,55,42348.36,2025-01-20T06:21,2025-01-20T18:07
2025-01-21,28.0,23.4,32.3,27.5,20.8,20.8,15.1,30.2,63,42363.18,2025-01-21T06:21,2025-01-21T18:07
2025-01-22,26.9,22.6,32.0,27.1,15.0,15.0,14.0,29.2,63,42378.31,2025-01-22T06:21,2025-01-22T18:07
