time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,29.5,23.0,33.3,27.3,0.5,0.5,15.7,32.4,51,41910.35,2024-12-28T06:20,2024-12-28T17:59
2024-12-29,29.0,22.4,34.4,26.7,5.1,5.1,15.8,34.6,63,41915.0,2024-12-29T06:21,2024-12-29T17:59
2024-12-30,28.4,23.4,32.7,27.0,10.4,10.4,19.1,36.0,63,41920.24,2024-12-30T06:21,2024-12-30T18:00
2024-12-31,27.5,23.0,30.6,26.2,6.7,6.7,23.1,49.7,61,41926.07,2024-12-31T06:22,2024-12-31T18:00
2025-01-01,26.4,23.0,28.8,26.0,12.2,12.2,23.0,48.6,63,41932.46,2025-01-01T06:22,2025-01-01T18:01
2025-01-02,28.2,22.0,29.9,24.4,0.0,0.0,20.4,42.1,3,41939.41,2025-01-02T06:22,2025-01-02T18:01
2025-01-03,27.8,22.0,29.4,24.0,0.3,0.3,24.3,49.0,51,41946.92,2025-01-03T06:23,2025-01-03T18:02
2025-01-04,27.7,21.0,29.4,22.6,0.0,0.0,16.8,34.2,3,41954.98,2025-01-04T06:23,2025-01-04T18:02
2025-01-05,28.6,21.4,31.4,23.5,0.0,0.0,18.8,37.4,3,41963.58,2025-01-05T06:24,2025-01-05T18:03
2025-01-06,29.1,19.9,32.5,22.7,0.0,0.0,13.9,27.7,3,41972.71,2025-01-06T06:24,2025-01-06T18:03
2025-01-07,29.0,21.8,34.0,25.7,1.6,1.6,14.7,33.5,53,41982.38,2025-01-07T06:24,2025-01-07T18:04
2025-01-08,27.5,22.5,31.5,26.1,3.0,3.0,14.3,31.3,55,41992.69,2025-01-08T06:25,2025-01-08T18:04
2025-01-09,28.0,21.9,31.2,25.4,0.9,0.9,18.9,36.7,51,42003.65,2025-01-09T06:25,2025-01-09T18:05
2025-01-10,28.2,23.1,31.8,26.3,1.9,1.9,22.7,44.6,51,42015.25,2025-01-10T06:25,2025-01-10T18:05
2025-01-11,26.0,21.8,29.0,23.8,34.0,34.0,22.2,38.9,63,42027.47,2025-01-11T06:25,2025-01-11T18:06
2025-01-12,27.5,22.0,30.9,24.2,14.6,14.6,18.0,42.1,63,42040.28,2025-01-12T06:26,2025-01-12T18:06
2025-01-13,28.6,22.5,32.6,26.3,2.2,2.2,21.1,42.1,53,42053.66,2025-01-13T06:26,2025-01-13T18:07
2025-01-14,24.4,22.6,28.3,25.4,19.5,19.5,16.3,34.2,63,42067.58,2025-01-14T06:26,2025-01-14T18:07
2025-01-15,26.9,22.4,30.2,25.7,5.7,5.7,20.9,40.7,61,42082.02,2025-01-15T06:26,2025-01-15T18:08
2025-01-16,27.1,22.5,30.3,25.4,2.5,2.5,22.5,42.5,53,42096.96,2025-01-16T06:27,2025-01-16T18:08
2025-01-17,28.4,22.5,31.2,24.6,0.9,0.9,22.8,46.8,53,42112.38,2025-01-17T06:27,2025-01-17T18:09
2025-01-18,26.0,22.9,29.6,26.1,19.1,19.1,19.9,40.7,63,42128.24,2025-01-18T06:27,2025-01-18T18:09
2025-01-19,24.1,22.4,28.0,26.0,35.5,35.5,13.6,27.7,63,42144.54,2025-01-19T06:27,2025-01-19T18:10
2025-01-20,28.0,22.8,31.9,26.3,6.6,6.6,21.2,41.4,55,42161.24,2025-01-20T06:27,2025-01-20T18:10
2025-01-21,27.9,21.8,32.4,24.6,8.6,8.6,16.8,36.4,63,42178.33,2025-01-21T06:28,2025-01-21T18:11
2025-01-22,28.5,22.4,33.6,26.0,19.5,19.5,17.9,37.1,65,42195.78,2025-01-22T06:28,2025-01-22T18:11
2025-01-23,28.9,22.5,32.5,25.7,0.6,0.6,20.5,40.0,51,42213.57,2025-01-23T06:28,2025-01-23T18:11
2025-01-24,28.2,22.5,31.6,25.0,0.0,0.0,16.8,33.1,3,42231.69,2025-01-24T06:28,2025-01-24T18:12
2025-01-25,27.6,22.7,30.3,25.6,1.9,1.9,20.4,39.6,53,42250.1,2025-01-25T06:28,2025-01-25T18:12
2025-01-26,28.4,22.5,31.3,25.4,0.9,0.9,23.2,45.0,51,42268.79,2025-01-26T06:28,2025-01-26T18:13
2025-01-27,28.0,20.7,29.6,23.5,0.0,0.0,22.2,45.4,3,42287.74,2025-01-27T06:28,2025-01-27T18:13
2025-01-28,27.8,20.5,30.1,23.5,0.0,0.0,14.5,31.0,3,42307.15,2025-01-28T06:28,2025-01-28T18:13
2025-01-29,27.9,22.2,31.3,24.8,7.6,7.6,23.4,45.4,63,42327.06,2025-01-29T06:28,2025-01-29T18:14
2025-01-30,28.0,23.0,33.0,27.3,7.6,7.6,14.6,32.8,61,42347.45,2025-01-30T06:28,2025-01-30T18:14
2025-01-31,29.3,23.5,34.4,27.9,2.4,2.4,20.1,40.3,53,42368.28,2025-01-31T06:28,2025-01-31T18:14
2025-02-01,29.8,23.6,34.4,27.3,0.8,0.8,18.5,35.6,51,42389.53,2025-02-01T06:28,2025-02-01T18:15
