time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,24.8,18.0,28.4,20.2,4.8,4.8,6.3,20.5,53,42174.84,2024-12-28T06:16,2024-12-28T17:58
2024-12-29,25.3,16.3,29.0,17.9,8.2,8.2,9.3,29.2,63,42178.75,2024-12-29T06:16,2024-12-29T17:59
2024-12-30,24.7,19.2,28.0,21.4,14.0,14.0,7.4,27.4,63,42183.16,2024-12-30T06:16,2024-12-30T18:00
2024-12-31,22.4,20.5,26.1,24.0,29.2,29.2,6.4,29.2,63,42188.05,2024-12-31T06:17,2024-12-31T18:00
2025-01-01,21.9,20.2,25.3,23.6,56.4,56.4,6.7,29.9,65,42193.41,2025-01-01T06:17,2025-01-01T18:01
2025-01-02,22.4,20.1,25.6,23.0,24.4,24.4,7.5,24.5,63,42199.25,2025-01-02T06:18,2025-01-02T18:01
2025-01-03,22.9,19.9,25.0,22.8,6.8,6.8,11.4,32.8,61,42205.56,2025-01-03T06:18,2025-01-03T18:02
2025-01-04,21.0,18.6,23.8,21.1,2.5,2.5,8.3,23.4,53,42212.33,2025-01-04T06:19,2025-01-04T18:02
2025-01-05,24.8,18.5,27.3,20.0,0.2,0.2,8.9,28.1,51,42219.56,2025-01-05T06:19,2025-01-05T18:03
2025-01-06,25.0,18.5,28.2,20.9,0.0,0.0,10.7,31.0,3,42227.23,2025-01-06T06:19,2025-01-06T18:03
2025-01-07,26.0,14.8,29.8,15.2,1.0,1.0,9.3,28.8,51,42235.36,2025-01-07T06:20,2025-01-07T18:04
2025-01-08,25.8,19.6,29.9,22.6,3.2,3.2,11.4,31.7,53,42244.02,2025-01-08T06:20,2025-01-08T18:04
2025-01-09,24.1,20.5,27.2,24.0,5.7,5.7,9.0,26.3,53,42253.23,2025-01-09T06:20,2025-01-09T18:05
2025-01-10,23.5,20.7,27.5,23.9,12.2,12.2,10.9,34.2,61,42262.98,2025-01-10T06:21,2025-01-10T18:05
2025-01-11,21.6,19.6,25.3,22.8,48.9,48.9,7.0,26.6,65,42273.24,2025-01-11T06:21,2025-01-11T18:06
2025-01-12,23.6,19.4,27.6,22.2,58.2,58.2,6.8,30.6,65,42284.0,2025-01-12T06:21,2025-01-12T18:06
2025-01-13,25.6,19.6,29.1,22.8,11.7,11.7,10.9,33.5,63,42295.25,2025-01-13T06:22,2025-01-13T18:06
2025-01-14,21.7,20.3,25.9,23.9,33.2,33.2,6.7,25.9,63,42306.95,2025-01-14T06:22,2025-01-14T18:07
2025-01-15,22.5,19.9,26.7,23.4,11.9,11.9,5.4,24.5,61,42319.09,2025-01-15T06:22,2025-01-15T18:07
2025-01-16,22.2,20.1,26.0,23.2,17.5,17.5,6.5,24.8,63,42331.64,2025-01-16T06:22,2025-01-16T18:08
2025-01-17,23.4,19.3,27.2,22.2,10.1,10.1,9.9,34.6,55,42344.6,2025-01-17T06:23,2025-01-17T18:08
2025-01-18,22.3,20.3,26.0,23.9,43.9,43.9,5.4,24.8,63,42357.94,2025-01-18T06:23,2025-01-18T18:09
2025-01-19,21.0,20.0,24.7,23.4,68.1,68.1,6.8,25.6,63,42371.63,2025-01-19T06:23,2025-01-19T18:09
2025-01-20,24.8,19.3,28.6,21.5,9.8,9.8,11.7,35.3,61,42385.68,2025-01-20T06:23,2025-01-20T18:10
2025-01-21,23.1,20.2,27.1,23.8,32.1,32.1,6.5,24.1,63,42400.05,2025-01-21T06:23,2025-01-21T18:10
2025-01-22,22.8,19.0,27.3,21.5,32.4,32.4,5.1,21.2,63,42414.73,2025-01-22T06:23,2025-01-22T18:10
2025-01-23,24.9,19.0,29.1,21.7,4.1,4.1,8.8,28.4,53,42429.69,2025-01-23T06:24,2025-01-23T18:11
2025-01-24,24.4,19.4,27.7,22.6,7.6,7.6,7.4,22.3,63,42444.92,2025-01-24T06:24,2025-01-24T18:11
2025-01-25,24.4,18.8,28.3,21.4,22.8,22.8,8.7,27.4,63,42460.41,2025-01-25T06:24,2025-01-25T18:12
2025-01-26,23.4,20.1,27.2,23.1,16.1,16.1,9.1,28.8,63,42476.13,2025-01-26T06:24,2025-01-26T18:12
2025-01-27,24.8,18.0,27.4,19.9,1.8,1.8,11.6,34.6,51,42492.07,2025-01-27T06:24,2025-01-27T18:12
2025-01-28,24.5,17.3,26.9,19.0,3.3,3.3,11.0,31.3,53,42508.4,2025-01-28T06:24,2025-01-28T18:13
2025-01-29,22.8,19.3,26.7,22.5,17.6,17.6,7.7,27.0,63,42525.16,2025-01-29T06:24,2025-01-29T18:13
2025-01-30,27.3,19.5,32.4,22.6,12.5,12.5,12.1,36.0,63,42542.31,2025-01-30T06:24,2025-01-30T18:13
2025-01-31,25.8,18.8,30.2,21.1,4.7,4.7,8.4,32.0,53,42559.84,2025-01-31T06:24,2025-01-31T18:13
2025-02-01,26.4,18.3,30.9,20.7,4.2,4.2,9.7,29.9,55,42577.73,2025-02-01T06:24,2025-02-01T18:14
2025-02-02,26.9,17.4,30.0,18.9,0.5,0.5,10.0,31.3,51,42595.95,2025-02-02T06:24,2025-02-02T18:14
2025-02-03,26.0,15.1,29.8,15.7,0.2,0.2,9.6,29.5,51,42614.47,2025-02-03T06:24,2025-02-03T18:14
2025-02-04,25.6,15.2,28.9,15.7,0.5,0.5,10.2,31.7,51,42633.29,2025-02-04T06:24,2025-02-04T18:14
2025-02-05,25.2,17.5,27.5,19.6,2.5,2.5,11.6,31.7,53,42652.36,2025-02-05T06:24,2025-02-05T18:15
2025-02-06,26.9,20.0,30.8,23.4,5.2,5.2,8.3,26.3,53,42671.68,2025-02-06T06:24,2025-02-06T18:15
2025-02-07,26.1,18.9,29.7,21.5,2.4,2.4,12.2,36.0,51,42691.22,2025-02-07T06:24,2025-02-07T18:15
2025-02-08,25.3,13.8,28.2,14.1,2.8,2.8,12.0,36.0,53,42710.96,2025-02-08T06:24,2025-02-08T18:15
2025-02-09,25.6,16.5,28.2,17.3,1.7,1.7,12.7,37.1,53,42730.88,2025-02-09T06:23,2025-02-09T18:16
2025-02-10,26.5,16.1,30.0,16.5,0.5,0.5,11.5,34.9,51,42750.96,2025-02-10T06:23,2025-02-10T18:16
2025-02-11,25.3,19.2,29.6,21.8,5.3,5.3,9.3,29.9,63,42771.18,2025-02-11T06:23,2025-02-11T18:16
2025-02-12,26.8,18.5,30.9,20.6,3.7,3.7,11.7,34.6,53,42791.52,2025-02-12T06:23,2025-02-12T18:16
2025-02-13,26.7,17.8,31.1,19.0,0.1,0.1,9.0,29.5,51,42811.95,2025-02-13T06:23,2025-02-13T18:16
2025-02-14,27.3,15.4,31.8,14.3,0.0,0.0,9.5,31.0,3,42832.46,2025-02-14T06:23,2025-02-14T18:16
2025-02-15,26.9,15.3,31.4,15.2,0.0,0.0,9.6,28.8,3,42853.04,2025-02-15T06:22,2025-02-15T18:17
2025-02-16,26.0,18.4,30.3,18.6,0.0,0.0,9.2,29.5,3,42873.66,2025-02-16T06:22,2025-02-16T18:17
2025-02-17,27.7,17.5,31.5,18.0,0.9,0.9,11.0,32.0,51,42894.5,2025-02-17T06:22,2025-02-17T18:17
2025-02-18,27.5,20.3,31.3,23.6,1.8,1.8,10.5,32.0,53,42915.61,2025-02-18T06:22,2025-02-18T18:17
2025-02-19,27.5,17.1,32.1,18.5,1.0,1.0,9.5,30.2,51,42936.96,2025-02-19T06:21,2025-02-19T18:17
2025-02-20,27.6,18.5,32.1,20.6,1.3,1.3,10.5,32.8,53,42958.56,2025-02-20T06:21,2025-02-20T18:17
2025-02-21,28.0,16.3,32.3,17.4,0.7,0.7,9.7,31.0,51,42980.36,2025-02-21T06:21,2025-02-21T18:17
2025-02-22,27.7,16.1,31.9,17.0,0.3,0.3,9.0,30.2,51,43002.36,2025-02-22T06:20,2025-02-22T18:17
2025-02-23,27.4,16.6,31.4,17.5,0.6,0.6,9.2,30.6,51,43024.52,2025-02-23T06:20,2025-02-23T18:17
2025-02-24,26.1,17.8,29.5,19.2,2.2,2.2,10.8,33.1,53,43046.84,2025-02-24T06:20,2025-02-24T18:17
2025-02-25,25.0,20.4,29.6,23.9,4.7,4.7,9.2,30.2,53,43069.3,2025-02-25T06:19,2025-02-25T18:17
2025-02-26,24.8,20.4,28.7,24.0,17.1,17.1,8.3,34.9,63,43091.87,2025-02-26T06:19,2025-02-26T18:17
2025-02-27,24.9,20.5,29.1,24.2,18.2,18.2,11.0,34.2,63,43114.54,2025-02-27T06:19,2025-02-27T18:17
2025-02-28,24.2,19.9,28.6,23.1,45.0,45.0,7.3,31.0,65,43137.29,2025-02-28T06:18,2025-02-28T18:17
2025-03-01,26.9,19.8,32.2,23.1,18.4,18.4,5.9,26.3,65,43160.09,2025-03-01T06:18,2025-03-01T18:17
2025-03-02,26.7,18.4,32.1,21.0,11.1,11.1,8.8,32.8,63,43182.95,2025-03-02T06:18,2025-03-02T18:17
2025-03-03,26.1,18.8,29.9,20.9,4.4,4.4,9.0,33.5,61,43205.82,2025-03-03T06:17,2025-03-03T18:17
2025-03-04,27.9,18.5,32.2,19.3,0.0,0.0,8.2,26.6,3,43228.71,2025-03-04T06:17,2025-03-04T18:17
2025-03-05,28.9,16.9,32.9,17.2,0.0,0.0,8.8,27.7,3,43251.59,2025-03-05T06:16,2025-03-05T18:17
2025-03-06,29.1,15.9,30.8,15.2,0.0,0.0,11.8,34.6,3,43274.43,2025-03-06T06:16,2025-03-06T18:17
