time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,31.2,23.4,36.0,27.9,1.8,1.8,8.3,26.6,53,42204.15,2024-12-28T06:20,2024-12-28T18:03
2024-12-29,31.4,23.0,36.2,27.3,4.6,4.6,16.8,42.8,61,42207.97,2024-12-29T06:20,2024-12-29T18:04
2024-12-30,30.9,23.4,37.5,27.7,10.9,10.9,11.2,32.8,63,42212.29,2024-12-30T06:21,2024-12-30T18:04
2024-12-31,30.7,23.8,36.9,28.7,5.2,5.2,10.6,33.8,61,42217.07,2024-12-31T06:21,2024-12-31T18:05
2025-01-01,28.3,23.4,32.1,26.5,23.8,23.8,16.3,38.9,65,42222.32,2025-01-01T06:22,2025-01-01T18:05
2025-01-02,27.5,23.5,31.2,25.9,4.1,4.1,17.7,36.7,53,42228.04,2025-01-02T06:22,2025-01-02T18:06
2025-01-03,30.7,23.1,33.8,25.2,0.2,0.2,17.4,37.4,51,42234.21,2025-01-03T06:22,2025-01-03T18:06
2025-01-04,29.9,23.1,35.7,25.1,2.7,2.7,14.3,32.8,61,42240.84,2025-01-04T06:23,2025-01-04T18:07
2025-01-05,30.8,23.1,35.6,25.1,0.8,0.8,11.3,25.2,51,42247.92,2025-01-05T06:23,2025-01-05T18:07
2025-01-06,30.5,21.6,34.1,24.8,0.0,0.0,13.3,34.9,3,42255.43,2025-01-06T06:24,2025-01-06T18:08
2025-01-07,30.1,21.7,35.1,25.1,0.0,0.0,9.7,29.2,3,42263.38,2025-01-07T06:24,2025-01-07T18:08
2025-01-08,30.8,23.0,35.7,27.2,0.2,0.2,12.5,33.8,51,42271.86,2025-01-08T06:24,2025-01-08T18:09
2025-01-09,33.2,23.6,36.5,27.0,2.5,2.5,11.6,30.2,55,42280.88,2025-01-09T06:25,2025-01-09T18:09
2025-01-10,33.6,24.5,37.9,27.4,5.6,5.6,14.2,38.2,63,42290.42,2025-01-10T06:25,2025-01-10T18:10
2025-01-11,31.6,22.9,33.2,24.7,1.6,1.6,24.9,59.8,51,42300.47,2025-01-11T06:25,2025-01-11T18:10
2025-01-12,28.3,21.9,33.7,24.2,25.2,25.2,18.0,38.2,63,42311.01,2025-01-12T06:26,2025-01-12T18:11
2025-01-13,29.9,22.5,37.5,26.6,16.6,16.6,12.1,37.1,65,42322.01,2025-01-13T06:26,2025-01-13T18:11
2025-01-14,28.1,23.0,34.0,27.0,18.8,18.8,9.7,20.9,65,42333.47,2025-01-14T06:26,2025-01-14T18:12
2025-01-15,28.8,23.0,33.4,26.9,9.3,9.3,13.2,31.3,63,42345.35,2025-01-15T06:26,2025-01-15T18:12
2025-01-16,28.7,23.3,33.5,26.9,3.6,3.6,12.5,25.9,55,42357.64,2025-01-16T06:27,2025-01-16T18:13
2025-01-17,30.3,23.6,33.4,25.4,0.0,0.0,20.9,49.3,3,42370.33,2025-01-17T06:27,2025-01-17T18:13
2025-01-18,29.7,24.0,35.6,26.3,27.5,27.5,17.5,37.4,65,42383.39,2025-01-18T06:27,2025-01-18T18:13
