time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,30.2,23.5,34.9,28.2,8.2,8.2,12.1,27.4,63,42379.63,2024-12-28T06:17,2024-12-28T18:03
2024-12-29,29.4,22.4,35.2,26.5,4.4,4.4,15.5,33.1,61,42382.97,2024-12-29T06:18,2024-12-29T18:04
2024-12-30,28.9,23.3,34.3,27.5,17.0,17.0,13.0,26.6,63,42386.72,2024-12-30T06:18,2024-12-30T18:04
2024-12-31,28.4,23.2,35.5,27.6,10.4,10.4,10.7,24.1,63,42390.89,2024-12-31T06:18,2024-12-31T18:05
2025-01-01,28.2,22.9,33.3,27.5,33.5,33.5,11.7,31.0,65,42395.47,2025-01-01T06:19,2025-01-01T18:05
2025-01-02,24.8,23.0,30.4,27.9,20.5,20.5,8.5,22.7,63,42400.45,2025-01-02T06:19,2025-01-02T18:06
2025-01-03,28.5,22.6,35.1,27.0,20.8,20.8,9.3,27.0,65,42405.82,2025-01-03T06:20,2025-01-03T18:06
2025-01-04,27.5,22.8,31.9,26.9,0.6,0.6,18.6,38.2,51,42411.6,2025-01-04T06:20,2025-01-04T18:07
2025-01-05,27.5,23.1,32.3,27.4,1.6,1.6,11.3,26.3,53,42417.76,2025-01-05T06:21,2025-01-05T18:07
2025-01-06,29.7,22.5,35.6,26.0,0.4,0.4,10.5,24.1,51,42424.3,2025-01-06T06:21,2025-01-06T18:08
2025-01-07,28.8,23.0,35.1,26.7,1.1,1.1,8.3,20.9,51,42431.23,2025-01-07T06:21,2025-01-07T18:08
2025-01-08,29.4,22.5,35.7,26.4,1.2,1.2,12.4,27.0,51,42438.61,2025-01-08T06:22,2025-01-08T18:09
2025-01-09,30.2,22.8,37.0,27.1,2.8,2.8,8.2,22.7,53,42446.47,2025-01-09T06:22,2025-01-09T18:09
2025-01-10,29.7,23.2,36.5,27.7,4.4,4.4,11.7,29.2,61,42454.79,2025-01-10T06:22,2025-01-10T18:10
2025-01-11,30.3,23.3,37.9,26.6,6.7,6.7,12.6,27.4,63,42463.55,2025-01-11T06:23,2025-01-11T18:10
2025-01-12,26.8,21.5,32.2,24.4,42.5,42.5,15.1,27.4,65,42472.73,2025-01-12T06:23,2025-01-12T18:11
2025-01-13,30.6,23.1,35.8,26.1,8.3,8.3,17.0,31.0,63,42482.32,2025-01-13T06:23,2025-01-13T18:11
2025-01-14,27.0,22.9,31.2,26.6,17.2,17.2,13.7,33.1,63,42492.3,2025-01-14T06:23,2025-01-14T18:12
2025-01-15,29.6,22.8,36.5,26.6,19.7,19.7,16.2,29.2,65,42502.66,2025-01-15T06:24,2025-01-15T18:12
2025-01-16,29.8,23.1,35.5,27.4,3.6,3.6,12.7,36.0,55,42513.37,2025-01-16T06:24,2025-01-16T18:13
2025-01-17,28.8,22.0,35.4,26.2,1.2,1.2,11.4,27.0,51,42524.43,2025-01-17T06:24,2025-01-17T18:13
2025-01-18,29.1,23.0,35.7,26.6,20.9,20.9,10.5,29.5,63,42535.81,2025-01-18T06:24,2025-01-18T18:13
2025-01-19,24.3,23.0,29.6,27.2,56.0,56.0,11.0,22.0,63,42547.5,2025-01-19T06:25,2025-01-19T18:14
2025-01-20,29.1,22.4,34.3,26.6,2.7,2.7,8.7,25.6,61,42559.49,2025-01-20T06:25,2025-01-20T18:14
2025-01-21,29.5,22.8,35.6,26.8,3.8,3.8,10.1,20.9,53,42571.76,2025-01-21T06:25,2025-01-21T18:15
2025-01-22,26.0,22.4,31.1,26.4,25.7,25.7,15.1,28.1,63,42584.29,2025-01-22T06:25,2025-01-22T18:15
2025-01-23,30.3,22.7,37.3,25.8,4.3,4.3,16.4,28.8,61,42597.05,2025-01-23T06:25,2025-01-23T18:15
2025-01-24,26.2,22.7,31.7,27.0,3.2,3.2,9.5,19.1,61,42610.07,2025-01-24T06:26,2025-01-24T18:16
2025-01-25,29.4,22.1,34.4,25.6,3.2,3.2,12.9,27.0,61,42623.29,2025-01-25T06:26,2025-01-25T18:16
2025-01-26,28.8,22.4,35.5,26.5,12.2,12.2,11.9,29.9,65,42636.71,2025-01-26T06:26,2025-01-26T18:16
2025-01-27,28.5,23.4,33.9,27.7,0.7,0.7,13.2,28.4,51,42650.33,2025-01-27T06:26,2025-01-27T18:17
2025-01-28,26.2,22.8,29.3,25.5,11.0,11.0,13.4,23.4,61,42664.28,2025-01-28T06:26,2025-01-28T18:17
2025-01-29,27.9,22.6,33.5,26.9,6.4,6.4,13.2,30.2,61,42678.59,2025-01-29T06:26,2025-01-29T18:17
2025-01-30,29.4,22.8,37.2,26.1,27.0,27.0,14.4,27.7,65,42693.25,2025-01-30T06:26,2025-01-30T18:18
2025-01-31,29.5,23.0,37.1,27.6,3.0,3.0,11.7,36.7,53,42708.22,2025-01-31T06:26,2025-01-31T18:18
2025-02-01,29.3,22.8,36.0,26.9,3.8,3.8,15.4,29.5,55,42723.5,2025-02-01T06:26,2025-02-01T18:18
