time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,30.7,22.4,35.7,26.7,0.9,0.9,9.0,21.2,51,42174.84,2024-12-28T06:20,2024-12-28T18:02
2024-12-29,31.0,21.6,36.0,25.5,4.8,4.8,13.7,29.5,63,42178.75,2024-12-29T06:20,2024-12-29T18:03
2024-12-30,31.5,22.5,38.4,26.9,13.5,13.5,14.0,30.6,63,42183.16,2024-12-30T06:20,2024-12-30T18:03
2024-12-31,30.0,23.1,35.3,27.5,11.6,11.6,14.4,34.6,63,42188.05,2024-12-31T06:21,2024-12-31T18:04
2025-01-01,28.5,23.0,32.4,26.0,16.4,16.4,18.7,36.7,63,42193.41,2025-01-01T06:21,2025-01-01T18:05
2025-01-02,28.1,22.9,31.9,25.4,1.0,1.0,18.3,33.1,51,42199.25,2025-01-02T06:22,2025-01-02T18:05
2025-01-03,30.4,23.0,33.5,24.9,0.0,0.0,19.0,38.5,3,42205.56,2025-01-03T06:22,2025-01-03T18:06
2025-01-04,30.1,23.0,35.2,24.9,1.8,1.8,15.2,31.3,53,42212.33,2025-01-04T06:23,2025-01-04T18:06
2025-01-05,30.5,22.1,34.7,24.6,0.2,0.2,13.1,27.7,51,42219.56,2025-01-05T06:23,2025-01-05T18:07
2025-01-06,30.0,20.7,34.0,23.9,0.0,0.0,14.6,31.7,3,42227.23,2025-01-06T06:23,2025-01-06T18:07
2025-01-07,31.0,20.2,36.0,23.6,0.0,0.0,8.3,18.4,3,42235.36,2025-01-07T06:24,2025-01-07T18:08
2025-01-08,31.0,21.5,36.8,25.2,0.3,0.3,13.1,28.4,51,42244.02,2025-01-08T06:24,2025-01-08T18:08
2025-01-09,31.4,22.9,36.9,26.4,0.1,0.1,13.2,27.0,51,42253.23,2025-01-09T06:24,2025-01-09T18:09
2025-01-10,32.0,24.0,36.5,27.0,8.4,8.4,17.1,35.6,63,42262.98,2025-01-10T06:25,2025-01-10T18:09
2025-01-11,30.5,22.1,32.4,24.4,1.3,1.3,23.7,50.0,53,42273.24,2025-01-11T06:25,2025-01-11T18:09
2025-01-12,28.9,21.6,34.7,24.3,38.3,38.3,17.1,31.7,65,42284.0,2025-01-12T06:25,2025-01-12T18:10
2025-01-13,31.1,21.9,37.3,26.3,16.3,16.3,11.8,31.7,65,42295.25,2025-01-13T06:25,2025-01-13T18:10
2025-01-14,27.8,22.6,32.7,26.4,17.7,17.7,10.7,25.6,63,42306.95,2025-01-14T06:26,2025-01-14T18:11
2025-01-15,29.2,22.5,33.0,26.5,14.9,14.9,15.9,33.1,63,42319.09,2025-01-15T06:26,2025-01-15T18:11
2025-01-16,29.4,22.9,33.8,25.7,3.2,3.2,16.6,28.8,53,42331.64,2025-01-16T06:26,2025-01-16T18:12
2025-01-17,30.2,23.0,33.3,24.8,0.0,0.0,21.8,41.8,3,42344.6,2025-01-17T06:26,2025-01-17T18:12
2025-01-18,30.1,23.5,35.5,26.4,28.3,28.3,17.8,35.6,65,42357.94,2025-01-18T06:27,2025-01-18T18:13
2025-01-19,24.8,22.8,30.2,26.7,54.2,54.2,14.2,25.2,65,42371.63,2025-01-19T06:27,2025-01-19T18:13
2025-01-20,31.1,22.5,36.4,25.7,5.2,5.2,21.1,40.0,63,42385.68,2025-01-20T06:27,2025-01-20T18:14
2025-01-21,27.7,23.3,32.7,26.2,16.5,16.5,16.6,33.5,65,42400.05,2025-01-21T06:27,2025-01-21T18:14
2025-01-22,28.2,22.9,33.9,26.9,25.0,25.0,12.7,26.6,63,42414.73,2025-01-22T06:27,2025-01-22T18:14
2025-01-23,31.2,22.4,37.3,27.0,24.1,24.1,8.2,19.8,65,42429.69,2025-01-23T06:28,2025-01-23T18:15
2025-01-24,29.6,22.2,36.8,26.0,4.5,4.5,13.0,21.2,61,42444.92,2025-01-24T06:28,2025-01-24T18:15
2025-01-25,30.2,22.0,35.7,25.9,0.4,0.4,17.4,32.0,51,42460.41,2025-01-25T06:28,2025-01-25T18:15
2025-01-26,31.2,23.6,36.7,26.4,0.9,0.9,15.9,35.3,51,42476.13,2025-01-26T06:28,2025-01-26T18:16
2025-01-27,30.5,22.1,33.3,24.2,0.0,0.0,17.9,34.9,3,42492.07,2025-01-27T06:28,2025-01-27T18:16
2025-01-28,29.5,21.2,34.4,23.5,5.2,5.2,9.2,20.2,55,42508.4,2025-01-28T06:28,2025-01-28T18:16
2025-01-29,30.8,22.1,35.8,24.8,9.1,9.1,17.7,32.4,63,42525.16,2025-01-29T06:28,2025-01-29T18:17
2025-01-30,30.6,23.1,38.6,27.2,20.1,20.1,9.9,23.4,65,42542.31,2025-01-30T06:28,2025-01-30T18:17
2025-01-31,31.9,22.0,39.1,26.9,4.5,4.5,9.6,27.4,61,42559.84,2025-01-31T06:28,2025-01-31T18:17
2025-02-01,32.0,21.8,37.4,24.3,0.8,0.8,14.6,27.7,51,42577.73,2025-02-01T06:28,2025-02-01T18:18
2025-02-02,32.9,19.5,37.6,22.6,0.0,0.0,17.4,33.8,3,42595.95,2025-02-02T06:28,2025-02-02T18:18
