time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,29.2,24.6,33.3,28.5,1.1,1.1,19.6,37.4,53,41629.39,2024-12-28T06:24,2024-12-28T17:58
2024-12-29,28.9,24.6,31.1,27.3,2.1,2.1,26.5,49.0,51,41634.84,2024-12-29T06:25,2024-12-29T17:58
2024-12-30,27.4,24.6,31.3,27.8,8.9,8.9,22.3,43.6,63,41640.98,2024-12-30T06:25,2024-12-30T17:59
2024-12-31,27.8,23.6,31.1,26.5,11.2,11.2,24.4,50.8,63,41647.78,2024-12-31T06:25,2024-12-31T18:00
2025-01-01,28.3,25.5,29.4,26.9,0.0,0.0,29.6,56.5,3,41655.26,2025-01-01T06:26,2025-01-01T18:00
2025-01-02,28.8,24.0,30.0,25.9,0.0,0.0,25.8,50.4,3,41663.4,2025-01-02T06:26,2025-01-02T18:01
2025-01-03,28.6,23.4,29.3,24.8,0.0,0.0,28.0,53.3,3,41672.19,2025-01-03T06:27,2025-01-03T18:01
2025-01-04,28.5,22.5,30.5,24.7,0.0,0.0,19.4,37.8,3,41681.62,2025-01-04T06:27,2025-01-04T18:02
2025-01-05,29.0,23.0,30.8,25.0,0.0,0.0,19.2,39.2,3,41691.69,2025-01-05T06:27,2025-01-05T18:02
2025-01-06,28.5,21.8,30.8,24.3,0.2,0.2,17.5,33.1,51,41702.38,2025-01-06T06:28,2025-01-06T18:03
2025-01-07,27.9,23.6,31.7,27.4,1.1,1.1,19.1,36.7,51,41713.69,2025-01-07T06:28,2025-01-07T18:03
2025-01-08,28.1,24.1,30.5,27.0,0.6,0.6,21.5,41.8,51,41725.75,2025-01-08T06:28,2025-01-08T18:04
2025-01-09,28.1,24.0,30.4,26.8,0.4,0.4,20.7,38.5,51,41738.57,2025-01-09T06:29,2025-01-09T18:04
2025-01-10,28.0,24.8,31.0,27.4,2.8,2.8,24.8,47.2,53,41752.15,2025-01-10T06:29,2025-01-10T18:05
2025-01-11,28.5,24.4,30.3,26.0,2.5,2.5,29.2,54.4,61,41766.45,2025-01-11T06:29,2025-01-11T18:05
2025-01-12,27.5,23.5,31.8,26.4,16.3,16.3,19.8,38.9,63,41781.43,2025-01-12T06:29,2025-01-12T18:06
2025-01-13,28.5,24.1,31.5,27.7,2.2,2.2,22.1,41.4,53,41797.08,2025-01-13T06:30,2025-01-13T18:06
2025-01-14,26.2,24.1,29.3,27.1,13.0,13.0,24.2,45.4,63,41813.36,2025-01-14T06:30,2025-01-14T18:07
2025-01-15,28.0,24.0,30.3,27.1,1.5,1.5,27.8,51.5,51,41830.25,2025-01-15T06:30,2025-01-15T18:07
2025-01-16,28.5,25.0,29.7,26.4,0.4,0.4,28.2,53.6,51,41847.73,2025-01-16T06:30,2025-01-16T18:08
2025-01-17,28.3,24.6,30.4,25.7,0.1,0.1,27.4,51.8,51,41865.75,2025-01-17T06:30,2025-01-17T18:08
2025-01-18,26.1,23.9,29.7,26.5,14.4,14.4,22.6,41.0,61,41884.31,2025-01-18T06:31,2025-01-18T18:09
2025-01-19,27.6,23.7,31.0,26.8,8.3,8.3,21.3,41.8,61,41903.37,2025-01-19T06:31,2025-01-19T18:09
2025-01-20,28.2,23.9,30.7,26.7,1.3,1.3,25.6,48.2,53,41922.9,2025-01-20T06:31,2025-01-20T18:10
2025-01-21,27.8,23.9,30.4,25.9,0.7,0.7,23.1,44.3,51,41942.88,2025-01-21T06:31,2025-01-21T18:10
2025-01-22,27.4,24.1,30.9,27.6,4.6,4.6,19.8,39.2,55,41963.29,2025-01-22T06:31,2025-01-22T18:11
2025-01-23,29.0,24.0,32.1,27.2,0.2,0.2,20.9,41.4,51,41984.09,2025-01-23T06:31,2025-01-23T18:11
2025-01-24,28.0,23.0,30.7,25.2,0.1,0.1,20.5,39.2,51,42005.26,2025-01-24T06:31,2025-01-24T18:11
2025-01-25,28.3,24.1,30.3,26.1,0.1,0.1,22.9,44.3,51,42026.79,2025-01-25T06:31,2025-01-25T18:12
2025-01-26,28.4,24.0,30.6,26.2,0.0,0.0,22.9,44.6,3,42048.63,2025-01-26T06:31,2025-01-26T18:12
2025-01-27,28.3,22.9,30.0,25.8,0.5,0.5,23.5,45.0,51,42070.79,2025-01-27T06:31,2025-01-27T18:13
2025-01-28,28.7,22.6,31.8,25.3,0.0,0.0,16.5,33.1,3,42093.47,2025-01-28T06:31,2025-01-28T18:13
2025-01-29,28.5,23.8,30.5,26.1,0.2,0.2,24.8,46.8,51,42116.73,2025-01-29T06:31,2025-01-29T18:13
2025-01-30,28.0,23.0,33.0,25.8,11.2,11.2,16.7,36.0,63,42140.56,2025-01-30T06:31,2025-01-30T18:14
2025-01-31,29.2,23.9,33.8,28.1,0.9,0.9,22.4,42.1,51,42164.89,2025-01-31T06:31,2025-01-31T18:14
2025-02-01,30.0,24.6,35.8,29.0,0.6,0.6,18.2,34.9,51,42189.73,2025-02-01T06:31,2025-02-01T18:14
2025-02-02,29.7,24.4,34.1,28.2,0.0,0.0,18.6,35.6,3,42215.01,2025-02-02T06:31,2025-02-02T18:15
2025-02-03,29.2,23.6,34.2,27.2,0.0,0.0,15.6,31.3,3,42240.72,2025-02-03T06:31,2025-02-03T18:15
2025-02-04,29.2,22.5,32.8,26.5,0.0,0.0,18.4,35.3,3,42266.82,2025-02-04T06:31,2025-02-04T18:15
2025-02-05,29.5,23.3,32.5,27.0,0.0,0.0,18.9,35.6,2,42293.28,2025-02-05T06:31,2025-02-05T18:16
2025-02-06,29.7,23.8,32.7,27.4,0.4,0.4,19.2,38.2,51,42320.07,2025-02-06T06:31,2025-02-06T18:16
2025-02-07,29.4,23.4,32.2,26.7,0.0,0.0,19.1,38.9,3,42347.17,2025-02-07T06:30,2025-02-07T18:16
2025-02-08,30.1,23.4,33.3,26.9,0.2,0.2,21.1,41.0,51,42374.54,2025-02-08T06:30,2025-02-08T18:17
2025-02-09,30.0,24.2,32.5,27.7,0.0,0.0,21.1,41.8,1,42402.15,2025-02-09T06:30,2025-02-09T18:17
