time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,29.3,22.9,35.1,27.6,1.7,1.7,11.8,27.4,53,42277.33,2024-12-28T06:19,2024-12-28T18:03
2024-12-29,29.7,22.5,35.1,26.2,2.5,2.5,17.0,34.6,53,42280.95,2024-12-29T06:19,2024-12-29T18:04
2024-12-30,30.5,22.9,36.6,27.4,12.2,12.2,12.3,30.6,63,42285.03,2024-12-30T06:20,2024-12-30T18:04
2024-12-31,29.0,22.8,34.7,27.5,3.8,3.8,9.0,23.0,63,42289.56,2024-12-31T06:20,2024-12-31T18:05
2025-01-01,26.3,23.3,32.2,27.6,25.4,25.4,11.7,23.4,63,42294.53,2025-01-01T06:21,2025-01-01T18:05
2025-01-02,26.1,22.9,31.5,27.2,8.4,8.4,8.2,25.9,63,42299.94,2025-01-02T06:21,2025-01-02T18:06
2025-01-03,28.4,22.9,34.4,27.6,5.0,5.0,12.3,25.9,53,42305.79,2025-01-03T06:21,2025-01-03T18:06
2025-01-04,28.8,21.9,34.5,25.4,1.8,1.8,9.5,24.8,53,42312.05,2025-01-04T06:22,2025-01-04T18:07
2025-01-05,28.3,22.8,34.5,27.1,1.5,1.5,11.8,29.2,53,42318.75,2025-01-05T06:22,2025-01-05T18:07
2025-01-06,30.0,22.3,34.2,25.8,0.1,0.1,13.9,28.1,51,42325.86,2025-01-06T06:23,2025-01-06T18:08
2025-01-07,28.9,20.6,35.3,24.4,0.3,0.3,9.1,22.3,51,42333.38,2025-01-07T06:23,2025-01-07T18:08
2025-01-08,28.9,22.7,35.3,27.0,1.1,1.1,11.7,27.0,53,42341.4,2025-01-08T06:23,2025-01-08T18:09
2025-01-09,29.7,22.9,35.9,27.3,0.9,0.9,12.3,27.0,51,42349.94,2025-01-09T06:24,2025-01-09T18:09
2025-01-10,30.8,23.2,38.5,26.9,12.7,12.7,13.6,32.0,63,42358.96,2025-01-10T06:24,2025-01-10T18:10
2025-01-11,31.9,22.9,35.3,24.3,2.8,2.8,25.2,46.4,61,42368.48,2025-01-11T06:24,2025-01-11T18:10
2025-01-12,28.1,22.0,33.8,24.1,23.6,23.6,17.1,32.0,63,42378.45,2025-01-12T06:24,2025-01-12T18:11
2025-01-13,28.8,22.3,34.7,26.9,0.5,0.5,10.7,25.9,51,42388.86,2025-01-13T06:25,2025-01-13T18:11
2025-01-14,26.8,23.4,33.4,27.9,17.6,17.6,6.6,16.9,63,42399.7,2025-01-14T06:25,2025-01-14T18:12
2025-01-15,29.0,22.9,35.0,27.4,14.9,14.9,8.2,19.8,63,42410.95,2025-01-15T06:25,2025-01-15T18:12
2025-01-16,28.5,22.6,34.7,26.9,4.0,4.0,7.9,18.4,53,42422.58,2025-01-16T06:26,2025-01-16T18:13
2025-01-17,30.1,22.2,36.1,25.7,0.9,0.9,13.0,23.0,51,42434.59,2025-01-17T06:26,2025-01-17T18:13
2025-01-18,29.9,23.4,36.6,26.6,6.4,6.4,12.9,27.4,61,42446.95,2025-01-18T06:26,2025-01-18T18:13
2025-01-19,24.1,23.0,29.4,27.8,48.6,48.6,8.1,17.3,63,42459.64,2025-01-19T06:26,2025-01-19T18:14
2025-01-20,29.3,22.0,36.1,26.3,8.9,8.9,9.4,25.2,63,42472.66,2025-01-20T06:26,2025-01-20T18:14
2025-01-21,28.2,22.7,32.7,26.3,5.0,5.0,17.0,34.6,63,42485.97,2025-01-21T06:27,2025-01-21T18:15
2025-01-22,26.3,22.8,31.8,26.9,7.1,7.1,8.0,20.9,63,42499.57,2025-01-22T06:27,2025-01-22T18:15
