time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,28.6,20.6,32.4,23.0,0.2,0.2,14.0,31.7,51,42130.86,2024-12-28T06:18,2024-12-28T18:00
2024-12-29,27.1,19.3,31.4,21.8,10.5,10.5,9.4,26.3,63,42134.89,2024-12-29T06:18,2024-12-29T18:00
2024-12-30,28.3,19.8,33.1,22.3,1.6,1.6,11.6,25.2,51,42139.44,2024-12-30T06:18,2024-12-30T18:01
2024-12-31,26.2,21.9,28.6,24.3,2.7,2.7,17.8,42.1,51,42144.48,2024-12-31T06:19,2024-12-31T18:01
2025-01-01,24.2,21.3,27.7,23.4,10.7,10.7,16.1,37.1,63,42150.02,2025-01-01T06:19,2025-01-01T18:02
2025-01-02,25.5,21.0,27.6,23.5,0.0,0.0,16.5,38.2,3,42156.04,2025-01-02T06:20,2025-01-02T18:02
2025-01-03,26.9,20.0,28.7,21.8,0.0,0.0,16.2,39.6,3,42162.55,2025-01-03T06:20,2025-01-03T18:03
2025-01-04,26.2,19.9,28.9,21.4,0.6,0.6,12.9,28.8,51,42169.54,2025-01-04T06:21,2025-01-04T18:03
2025-01-05,28.4,20.4,31.4,22.1,0.6,0.6,15.3,36.7,51,42176.99,2025-01-05T06:21,2025-01-05T18:04
2025-01-06,28.8,18.1,32.5,19.7,0.0,0.0,9.6,23.8,3,42184.91,2025-01-06T06:21,2025-01-06T18:04
2025-01-07,28.6,18.2,32.2,19.6,0.0,0.0,11.7,25.9,3,42193.29,2025-01-07T06:22,2025-01-07T18:05
2025-01-08,29.1,19.2,33.3,21.4,0.4,0.4,13.9,30.6,51,42202.22,2025-01-08T06:22,2025-01-08T18:05
2025-01-09,28.5,21.1,32.5,23.8,0.9,0.9,14.5,33.8,51,42211.73,2025-01-09T06:22,2025-01-09T18:06
2025-01-10,28.9,22.0,32.8,25.5,1.9,1.9,14.5,34.2,55,42221.78,2025-01-10T06:23,2025-01-10T18:06
2025-01-11,26.0,20.6,28.9,24.0,38.5,38.5,9.7,25.6,65,42232.37,2025-01-11T06:23,2025-01-11T18:07
2025-01-12,26.1,20.6,29.6,23.1,93.5,93.5,16.5,40.0,65,42243.48,2025-01-12T06:23,2025-01-12T18:07
2025-01-13,27.2,21.5,29.6,22.9,0.3,0.3,19.6,45.4,51,42255.07,2025-01-13T06:23,2025-01-13T18:08
2025-01-14,23.8,21.3,26.9,23.6,25.3,25.3,15.0,35.3,63,42267.14,2025-01-14T06:24,2025-01-14T18:08
2025-01-15,24.8,21.0,27.1,22.7,4.9,4.9,16.8,37.1,53,42279.66,2025-01-15T06:24,2025-01-15T18:09
2025-01-16,24.2,21.5,26.6,23.1,3.2,3.2,20.1,46.1,53,42292.61,2025-01-16T06:24,2025-01-16T18:09
2025-01-17,28.0,20.9,30.4,22.6,0.1,0.1,15.9,37.8,51,42305.98,2025-01-17T06:24,2025-01-17T18:10
2025-01-18,25.9,21.3,28.6,25.2,13.9,13.9,14.6,36.0,63,42319.74,2025-01-18T06:25,2025-01-18T18:10
2025-01-19,22.2,20.8,26.4,23.1,48.4,48.4,15.0,33.8,65,42333.87,2025-01-19T06:25,2025-01-19T18:10
2025-01-20,27.5,21.0,30.1,22.2,0.5,0.5,17.7,41.4,51,42348.36,2025-01-20T06:25,2025-01-20T18:11
2025-01-21,26.6,21.1,30.2,24.3,4.0,4.0,10.0,30.2,55,42363.18,2025-01-21T06:25,2025-01-21T18:11
2025-01-22,26.1,20.6,28.8,23.5,11.1,11.1,17.1,41.0,63,42378.31,2025-01-22T06:25,2025-01-22T18:12
2025-01-23,28.3,21.5,31.4,23.3,0.8,0.8,17.1,40.7,51,42393.75,2025-01-23T06:26,2025-01-23T18:12
2025-01-24,27.6,20.5,31.5,22.2,5.6,5.6,14.4,32.8,63,42409.45,2025-01-24T06:26,2025-01-24T18:12
2025-01-25,27.9,19.8,30.9,21.4,7.2,7.2,14.0,32.8,61,42425.43,2025-01-25T06:26,2025-01-25T18:13
2025-01-26,28.0,21.4,31.7,23.1,0.3,0.3,15.3,35.3,51,42441.64,2025-01-26T06:26,2025-01-26T18:13
2025-01-27,27.1,19.2,28.6,20.5,0.0,0.0,18.6,44.6,3,42458.09,2025-01-27T06:26,2025-01-27T18:14
2025-01-28,28.2,19.1,31.5,20.0,2.1,2.1,13.2,30.2,61,42474.93,2025-01-28T06:26,2025-01-28T18:14
2025-01-29,27.3,20.2,30.7,21.8,0.9,0.9,18.1,39.6,51,42492.21,2025-01-29T06:26,2025-01-29T18:14
