time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,30.9,21.5,35.8,25.2,0.6,0.6,10.8,25.6,51,42130.86,2024-12-28T06:19,2024-12-28T18:01
2024-12-29,29.5,20.6,34.7,23.2,8.7,8.7,11.7,27.7,63,42134.89,2024-12-29T06:19,2024-12-29T18:01
2024-12-30,29.9,21.3,35.1,25.3,12.5,12.5,10.8,27.0,65,42139.44,2024-12-30T06:20,2024-12-30T18:02
2024-12-31,29.8,22.7,34.9,27.0,8.0,8.0,12.9,33.8,63,42144.48,2024-12-31T06:20,2024-12-31T18:03
2025-01-01,27.4,22.4,31.2,25.8,8.5,8.5,14.8,39.2,63,42150.02,2025-01-01T06:21,2025-01-01T18:03
2025-01-02,28.5,22.3,31.5,24.9,0.5,0.5,14.5,27.7,51,42156.04,2025-01-02T06:21,2025-01-02T18:04
2025-01-03,30.1,22.3,32.8,24.3,0.0,0.0,16.8,36.0,3,42162.55,2025-01-03T06:21,2025-01-03T18:04
2025-01-04,29.0,21.6,32.8,23.6,0.0,0.0,13.1,30.6,3,42169.54,2025-01-04T06:22,2025-01-04T18:05
2025-01-05,31.0,21.8,35.1,23.9,0.0,0.0,13.4,29.2,3,42176.99,2025-01-05T06:22,2025-01-05T18:05
2025-01-06,30.0,19.4,33.6,21.7,0.0,0.0,11.2,27.0,3,42184.91,2025-01-06T06:23,2025-01-06T18:06
2025-01-07,30.2,18.8,35.7,21.0,0.0,0.0,9.2,20.9,3,42193.29,2025-01-07T06:23,2025-01-07T18:06
2025-01-08,31.2,19.5,36.5,22.2,0.0,0.0,12.0,27.7,1,42202.22,2025-01-08T06:23,2025-01-08T18:07
2025-01-09,31.4,21.1,36.1,24.7,0.8,0.8,12.9,25.2,51,42211.73,2025-01-09T06:24,2025-01-09T18:07
2025-01-10,32.2,23.5,36.2,26.7,0.6,0.6,15.9,37.1,51,42221.78,2025-01-10T06:24,2025-01-10T18:08
2025-01-11,29.1,21.1,32.2,23.0,18.8,18.8,22.0,47.9,63,42232.37,2025-01-11T06:24,2025-01-11T18:08
2025-01-12,28.2,21.2,32.8,24.8,66.7,66.7,15.0,34.9,65,42243.48,2025-01-12T06:24,2025-01-12T18:08
2025-01-13,31.4,21.9,36.9,25.4,0.6,0.6,12.0,31.0,53,42255.07,2025-01-13T06:25,2025-01-13T18:09
2025-01-14,27.2,22.4,31.9,26.1,22.4,22.4,11.0,29.5,63,42267.14,2025-01-14T06:25,2025-01-14T18:09
2025-01-15,27.9,22.2,32.0,25.8,6.5,6.5,12.3,26.6,55,42279.66,2025-01-15T06:25,2025-01-15T18:10
2025-01-16,27.6,22.5,31.4,25.8,1.3,1.3,13.4,29.5,53,42292.61,2025-01-16T06:25,2025-01-16T18:10
2025-01-17,30.6,22.3,33.2,24.6,0.1,0.1,17.3,38.2,51,42305.98,2025-01-17T06:26,2025-01-17T18:11
2025-01-18,29.1,22.9,34.3,26.5,9.0,9.0,12.3,32.8,63,42319.74,2025-01-18T06:26,2025-01-18T18:11
2025-01-19,24.0,22.3,29.3,26.2,65.6,65.6,9.4,23.4,65,42333.87,2025-01-19T06:26,2025-01-19T18:12
2025-01-20,30.9,22.2,35.6,25.1,0.4,0.4,14.4,34.6,51,42348.36,2025-01-20T06:26,2025-01-20T18:12
