time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,29.0,23.6,33.0,27.5,0.9,0.9,18.6,35.6,51,41688.71,2024-12-28T06:22,2024-12-28T17:57
2024-12-29,29.1,24.0,32.2,27.8,4.8,4.8,23.3,41.8,55,41693.99,2024-12-29T06:23,2024-12-29T17:58
2024-12-30,27.9,24.3,31.7,28.0,13.8,13.8,21.0,39.6,61,41699.93,2024-12-30T06:23,2024-12-30T17:58
2024-12-31,27.0,23.9,30.0,27.0,16.2,16.2,24.3,47.5,63,41706.54,2024-12-31T06:24,2024-12-31T17:59
2025-01-01,28.2,23.4,29.2,26.2,3.4,3.4,30.6,54.0,61,41713.79,2025-01-01T06:24,2025-01-01T17:59
2025-01-02,29.0,23.6,30.3,25.4,0.0,0.0,24.4,45.0,3,41721.67,2025-01-02T06:24,2025-01-02T18:00
2025-01-03,28.6,23.0,29.6,25.3,0.0,0.0,24.4,44.6,3,41730.19,2025-01-03T06:25,2025-01-03T18:00
2025-01-04,28.3,22.5,30.7,25.1,0.0,0.0,18.5,35.6,3,41739.33,2025-01-04T06:25,2025-01-04T18:01
2025-01-05,29.1,22.1,31.0,24.1,0.0,0.0,19.5,35.6,3,41749.09,2025-01-05T06:26,2025-01-05T18:01
2025-01-06,28.5,21.9,31.1,25.1,0.8,0.8,15.8,29.5,51,41759.45,2025-01-06T06:26,2025-01-06T18:02
2025-01-07,28.2,23.0,31.8,27.3,3.4,3.4,16.9,32.8,61,41770.41,2025-01-07T06:26,2025-01-07T18:02
2025-01-08,28.1,23.5,31.6,27.2,1.2,1.2,20.6,37.4,53,41782.1,2025-01-08T06:26,2025-01-08T18:03
2025-01-09,28.3,23.0,30.5,26.6,0.3,0.3,17.8,32.4,51,41794.54,2025-01-09T06:27,2025-01-09T18:03
2025-01-10,27.8,24.4,30.7,27.5,3.6,3.6,24.5,43.9,55,41807.7,2025-01-10T06:27,2025-01-10T18:04
2025-01-11,28.2,23.1,29.6,23.7,5.8,5.8,27.9,48.6,61,41821.55,2025-01-11T06:27,2025-01-11T18:04
2025-01-12,27.2,23.0,30.6,26.3,9.6,9.6,19.9,38.2,63,41836.08,2025-01-12T06:28,2025-01-12T18:05
2025-01-13,28.1,23.6,32.0,27.8,2.0,2.0,21.7,40.0,51,41851.25,2025-01-13T06:28,2025-01-13T18:05
2025-01-14,25.4,23.4,28.7,26.3,13.7,13.7,22.4,40.3,63,41867.03,2025-01-14T06:28,2025-01-14T18:06
2025-01-15,27.2,23.5,30.4,27.1,4.8,4.8,25.4,47.5,55,41883.41,2025-01-15T06:28,2025-01-15T18:06
2025-01-16,28.2,24.4,29.9,26.4,2.5,2.5,27.7,50.4,53,41900.34,2025-01-16T06:28,2025-01-16T18:07
2025-01-17,28.1,24.2,30.2,26.2,1.4,1.4,26.4,47.9,51,41917.82,2025-01-17T06:29,2025-01-17T18:07
2025-01-18,26.5,23.9,29.5,26.5,17.0,17.0,24.8,43.2,61,41935.81,2025-01-18T06:29,2025-01-18T18:08
2025-01-19,27.0,23.0,30.7,26.4,6.6,6.6,18.8,37.8,55,41954.28,2025-01-19T06:29,2025-01-19T18:08
2025-01-20,27.8,23.8,30.3,27.0,4.6,4.6,24.4,43.6,53,41973.21,2025-01-20T06:29,2025-01-20T18:09
2025-01-21,28.0,23.4,29.9,25.9,2.5,2.5,22.7,40.7,53,41992.58,2025-01-21T06:29,2025-01-21T18:09
2025-01-22,27.6,23.0,31.5,26.4,9.3,9.3,18.6,35.6,61,42012.36,2025-01-22T06:29,2025-01-22T18:10
2025-01-23,29.4,23.0,32.8,26.9,0.5,0.5,20.4,37.8,51,42032.53,2025-01-23T06:30,2025-01-23T18:10
2025-01-24,28.1,22.5,30.9,25.2,0.3,0.3,17.7,32.8,51,42053.06,2025-01-24T06:30,2025-01-24T18:10
2025-01-25,28.4,24.0,30.4,26.2,0.1,0.1,22.9,41.4,51,42073.92,2025-01-25T06:30,2025-01-25T18:11
2025-01-26,28.1,23.6,30.3,26.3,0.0,0.0,22.0,40.7,3,42095.1,2025-01-26T06:30,2025-01-26T18:11
2025-01-27,28.4,22.0,30.3,25.1,0.0,0.0,22.3,40.3,3,42116.58,2025-01-27T06:30,2025-01-27T18:12
2025-01-28,29.1,22.1,31.5,24.6,0.0,0.0,15.5,28.8,3,42138.57,2025-01-28T06:30,2025-01-28T18:12
2025-01-29,28.4,24.0,29.9,26.8,0.9,0.9,24.4,44.3,51,42161.13,2025-01-29T06:30,2025-01-29T18:12
2025-01-30,28.4,23.2,32.8,26.6,6.5,6.5,16.5,35.3,61,42184.23,2025-01-30T06:30,2025-01-30T18:13
2025-01-31,29.0,23.0,34.3,27.7,2.0,2.0,22.0,40.0,53,42207.82,2025-01-31T06:30,2025-01-31T18:13
2025-02-01,29.9,23.7,34.4,28.6,0.3,0.3,19.1,35.6,51,42231.9,2025-02-01T06:30,2025-02-01T18:13
2025-02-02,29.5,23.6,34.2,27.6,0.2,0.2,18.4,35.3,51,42256.41,2025-02-02T06:29,2025-02-02T18:14
2025-02-03,29.0,22.5,33.6,26.2,0.0,0.0,15.9,30.6,3,42281.34,2025-02-03T06:29,2025-02-03T18:14
2025-02-04,29.0,22.0,32.7,25.5,0.0,0.0,17.3,33.1,3,42306.65,2025-02-04T06:29,2025-02-04T18:14
2025-02-05,29.5,22.8,32.5,25.7,0.1,0.1,18.0,33.5,51,42332.31,2025-02-05T06:29,2025-02-05T18:15
2025-02-06,29.6,22.7,32.1,26.1,0.0,0.0,19.2,36.4,3,42358.29,2025-02-06T06:29,2025-02-06T18:15
