time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,30.1,21.9,34.0,25.2,0.2,0.2,17.1,36.4,51,42086.84,2024-12-28T06:19,2024-12-28T18:00
2024-12-29,28.5,20.5,33.0,23.6,3.2,3.2,13.7,32.4,61,42091.0,2024-12-29T06:19,2024-12-29T18:01
2024-12-30,28.8,22.0,33.4,26.2,4.5,4.5,16.2,32.8,61,42095.68,2024-12-30T06:20,2024-12-30T18:01
2024-12-31,28.4,22.6,31.3,26.0,1.0,1.0,23.2,49.0,51,42100.88,2024-12-31T06:20,2024-12-31T18:02
2025-01-01,26.3,22.8,28.6,25.2,4.2,4.2,23.4,46.8,53,42106.59,2025-01-01T06:21,2025-01-01T18:03
2025-01-02,27.6,22.8,29.0,25.1,0.0,0.0,18.7,38.9,3,42112.8,2025-01-02T06:21,2025-01-02T18:03
2025-01-03,29.2,22.1,30.8,24.0,0.0,0.0,22.5,49.0,3,42119.5,2025-01-03T06:22,2025-01-03T18:04
2025-01-04,27.8,21.8,30.3,23.5,0.0,0.0,17.5,37.1,3,42126.7,2025-01-04T06:22,2025-01-04T18:04
2025-01-05,29.8,22.1,32.9,23.8,0.0,0.0,18.0,39.2,3,42134.39,2025-01-05T06:22,2025-01-05T18:05
2025-01-06,29.3,20.1,32.8,22.3,0.0,0.0,14.5,32.0,3,42142.55,2025-01-06T06:23,2025-01-06T18:05
2025-01-07,30.1,19.4,34.8,22.3,0.0,0.0,15.2,29.2,3,42151.18,2025-01-07T06:23,2025-01-07T18:06
2025-01-08,29.4,21.0,34.4,24.5,1.2,1.2,16.9,33.1,53,42160.39,2025-01-08T06:23,2025-01-08T18:06
2025-01-09,29.9,22.4,33.1,25.6,0.7,0.7,19.4,41.0,51,42170.19,2025-01-09T06:24,2025-01-09T18:06
2025-01-10,30.0,23.4,33.2,26.7,0.0,0.0,21.6,47.2,3,42180.55,2025-01-10T06:24,2025-01-10T18:07
2025-01-11,27.7,21.0,30.0,23.2,34.0,34.0,21.3,44.6,65,42191.46,2025-01-11T06:24,2025-01-11T18:07
2025-01-12,27.8,21.5,31.0,24.4,48.9,48.9,21.7,43.9,65,42202.91,2025-01-12T06:25,2025-01-12T18:08
2025-01-13,29.6,21.6,33.1,25.1,0.1,0.1,21.0,43.2,51,42214.86,2025-01-13T06:25,2025-01-13T18:08
2025-01-14,25.1,22.5,28.9,25.9,19.2,19.2,14.9,28.1,63,42227.3,2025-01-14T06:25,2025-01-14T18:09
2025-01-15,27.5,22.0,30.4,25.3,8.3,8.3,16.8,35.3,63,42240.2,2025-01-15T06:25,2025-01-15T18:09
2025-01-16,26.6,22.4,29.6,24.7,0.5,0.5,19.0,39.6,51,42253.55,2025-01-16T06:26,2025-01-16T18:10
2025-01-17,28.8,22.6,31.1,24.6,0.0,0.0,22.4,46.8,3,42267.32,2025-01-17T06:26,2025-01-17T18:10
2025-01-18,27.9,22.4,30.9,26.1,12.3,12.3,19.9,43.2,63,42281.5,2025-01-18T06:26,2025-01-18T18:11
2025-01-19,24.0,22.1,28.3,26.0,50.3,50.3,13.9,27.4,63,42296.07,2025-01-19T06:26,2025-01-19T18:11
2025-01-20,28.8,22.4,32.1,25.4,2.0,2.0,22.0,43.9,61,42311.0,2025-01-20T06:26,2025-01-20T18:12
2025-01-21,28.2,23.0,32.7,25.9,6.4,6.4,18.1,38.9,63,42326.27,2025-01-21T06:27,2025-01-21T18:12
2025-01-22,28.4,21.8,32.7,25.6,15.8,15.8,12.5,28.8,65,42341.87,2025-01-22T06:27,2025-01-22T18:12
2025-01-23,30.4,20.1,34.9,23.5,0.5,0.5,21.7,43.9,51,42357.77,2025-01-23T06:27,2025-01-23T18:13
2025-01-24,29.4,21.9,33.9,24.4,7.2,7.2,15.4,32.4,63,42373.96,2025-01-24T06:27,2025-01-24T18:13
2025-01-25,28.0,21.6,31.4,24.7,5.5,5.5,20.1,42.1,61,42390.43,2025-01-25T06:27,2025-01-25T18:14
2025-01-26,29.5,23.0,33.4,25.0,0.2,0.2,20.8,42.1,51,42407.13,2025-01-26T06:27,2025-01-26T18:14
2025-01-27,29.2,20.7,30.7,23.0,0.0,0.0,23.3,47.5,3,42424.08,2025-01-27T06:27,2025-01-27T18:14
2025-01-28,29.6,19.9,33.9,22.1,1.4,1.4,17.6,37.4,53,42441.43,2025-01-28T06:27,2025-01-28T18:15
2025-01-29,29.3,22.3,32.7,24.7,2.2,2.2,21.0,43.6,53,42459.24,2025-01-29T06:27,2025-01-29T18:15
2025-01-30,29.8,22.5,35.8,27.2,10.8,10.8,12.1,25.6,63,42477.46,2025-01-30T06:27,2025-01-30T18:15
2025-01-31,30.4,22.3,35.3,27.1,0.5,0.5,19.1,40.0,51,42496.09,2025-01-31T06:27,2025-01-31T18:16
2025-02-01,31.1,21.0,34.7,25.0,0.2,0.2,20.4,41.8,51,42515.1,2025-02-01T06:27,2025-02-01T18:16
2025-02-02,31.0,20.6,34.1,23.5,0.0,0.0,19.7,42.1,3,42534.46,2025-02-02T06:27,2025-02-02T18:16
2025-02-03,30.3,19.2,33.5,21.9,0.0,0.0,18.2,37.4,3,42554.14,2025-02-03T06:27,2025-02-03T18:16
2025-02-04,30.2,17.2,33.0,19.1,0.0,0.0,21.1,42.5,3,42574.13,2025-02-04T06:27,2025-02-04T18:17
