time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,29.9,25.9,33.5,28.8,0.6,0.6,21.9,41.8,51,41762.72,2024-12-28T06:24,2024-12-28T18:00
2024-12-29,29.3,25.4,31.5,27.9,2.5,2.5,28.4,53.6,61,41767.79,2024-12-29T06:24,2024-12-29T18:00
2024-12-30,28.0,25.4,31.2,27.6,7.6,7.6,26.6,50.4,63,41773.5,2024-12-30T06:25,2024-12-30T18:01
2024-12-31,28.1,24.6,30.0,25.6,3.5,3.5,29.1,58.0,53,41779.84,2024-12-31T06:25,2024-12-31T18:01
2025-01-01,28.7,25.1,28.8,26.5,0.5,0.5,35.3,66.2,51,41786.81,2025-01-01T06:25,2025-01-01T18:02
2025-01-02,29.7,25.8,30.9,25.7,0.3,0.3,28.1,52.2,51,41794.39,2025-01-02T06:26,2025-01-02T18:02
2025-01-03,29.4,25.6,29.6,26.6,0.0,0.0,32.7,61.2,3,41802.56,2025-01-03T06:26,2025-01-03T18:03
2025-01-04,28.8,25.1,30.2,26.3,0.0,0.0,21.2,42.5,3,41811.35,2025-01-04T06:27,2025-01-04T18:03
2025-01-05,29.2,23.9,31.2,27.1,0.0,0.0,25.8,50.0,3,41820.71,2025-01-05T06:27,2025-01-05T18:04
2025-01-06,28.2,24.2,30.3,26.9,0.0,0.0,24.2,47.5,3,41830.67,2025-01-06T06:27,2025-01-06T18:04
2025-01-07,27.4,24.4,31.8,28.1,0.9,0.9,21.1,42.1,51,41841.2,2025-01-07T06:28,2025-01-07T18:05
2025-01-08,27.9,25.0,30.5,27.2,1.4,1.4,25.2,48.6,53,41852.43,2025-01-08T06:28,2025-01-08T18:05
2025-01-09,28.6,25.4,31.0,27.2,0.2,0.2,25.4,47.9,51,41864.37,2025-01-09T06:28,2025-01-09T18:06
2025-01-10,28.4,25.7,30.6,27.4,2.4,2.4,29.2,54.7,53,41877.01,2025-01-10T06:28,2025-01-10T18:06
2025-01-11,28.7,24.7,30.4,26.4,7.4,7.4,33.8,63.4,63,41890.32,2025-01-11T06:29,2025-01-11T18:07
2025-01-12,27.1,23.5,30.4,25.9,8.4,8.4,29.2,50.4,61,41904.27,2025-01-12T06:29,2025-01-12T18:07
2025-01-13,28.3,25.0,31.5,27.7,1.7,1.7,24.4,46.4,51,41918.84,2025-01-13T06:29,2025-01-13T18:08
2025-01-14,26.0,24.1,28.9,26.2,19.7,19.7,24.5,49.3,63,41934.0,2025-01-14T06:30,2025-01-14T18:08
2025-01-15,28.1,24.6,31.1,27.0,1.8,1.8,27.6,52.9,53,41949.73,2025-01-15T06:30,2025-01-15T18:09
2025-01-16,28.0,25.7,28.9,26.8,0.8,0.8,30.7,56.9,51,41966.0,2025-01-16T06:30,2025-01-16T18:09
2025-01-17,28.6,25.8,29.6,26.0,0.2,0.2,29.2,55.4,51,41982.79,2025-01-17T06:30,2025-01-17T18:10
2025-01-18,26.7,23.7,28.6,26.1,28.1,28.1,27.4,49.7,65,42000.06,2025-01-18T06:30,2025-01-18T18:10
2025-01-19,26.7,23.8,30.8,26.3,8.6,8.6,23.1,40.0,61,42017.81,2025-01-19T06:31,2025-01-19T18:11
2025-01-20,28.0,24.4,30.0,26.4,1.9,1.9,29.2,53.6,53,42036.0,2025-01-20T06:31,2025-01-20T18:11
2025-01-21,28.2,25.0,29.4,25.9,0.6,0.6,29.1,53.6,51,42054.61,2025-01-21T06:31,2025-01-21T18:12
2025-01-22,27.2,23.9,30.8,27.1,6.0,6.0,21.7,41.0,61,42073.61,2025-01-22T06:31,2025-01-22T18:12
2025-01-23,29.2,24.2,33.0,26.3,1.3,1.3,26.3,49.7,53,42092.98,2025-01-23T06:31,2025-01-23T18:13
2025-01-24,29.1,24.0,32.4,26.6,0.0,0.0,24.2,45.0,3,42112.7,2025-01-24T06:31,2025-01-24T18:13
2025-01-25,28.1,25.3,30.0,26.6,1.4,1.4,27.7,52.6,53,42132.75,2025-01-25T06:31,2025-01-25T18:13
2025-01-26,29.1,25.6,30.9,26.1,0.0,0.0,28.2,52.9,3,42153.1,2025-01-26T06:31,2025-01-26T18:14
2025-01-27,28.8,24.8,30.0,26.5,0.0,0.0,26.8,51.8,3,42173.73,2025-01-27T06:31,2025-01-27T18:14
2025-01-28,28.3,24.0,31.3,27.4,0.0,0.0,22.4,42.1,3,42194.86,2025-01-28T06:31,2025-01-28T18:15
2025-01-29,28.9,25.1,30.5,27.6,0.8,0.8,26.7,51.1,51,42216.54,2025-01-29T06:31,2025-01-29T18:15
2025-01-30,27.2,23.4,31.9,25.6,12.7,12.7,24.1,42.8,63,42238.72,2025-01-30T06:31,2025-01-30T18:15
2025-01-31,29.1,24.9,33.5,28.7,0.6,0.6,23.9,44.6,51,42261.4,2025-01-31T06:31,2025-01-31T18:16
2025-02-01,29.3,24.9,34.3,29.0,0.4,0.4,21.5,40.7,51,42284.53,2025-02-01T06:31,2025-02-01T18:16
2025-02-02,29.3,24.2,33.8,28.0,0.6,0.6,22.8,44.3,51,42308.09,2025-02-02T06:31,2025-02-02T18:16
2025-02-03,28.5,24.6,32.8,27.4,0.0,0.0,27.0,51.5,3,42332.04,2025-02-03T06:31,2025-02-03T18:16
2025-02-04,29.5,23.2,32.2,26.8,0.1,0.1,24.3,46.4,51,42356.35,2025-02-04T06:31,2025-02-04T18:17
2025-02-05,29.2,23.7,31.9,28.1,0.0,0.0,21.8,40.0,2,42381.01,2025-02-05T06:31,2025-02-05T18:17
2025-02-06,31.1,24.8,34.1,27.3,0.8,0.8,24.1,42.8,51,42405.98,2025-02-06T06:31,2025-02-06T18:17
2025-02-07,29.7,24.3,32.5,27.9,0.1,0.1,27.6,52.6,51,42431.23,2025-02-07T06:30,2025-02-07T18:18
2025-02-08,30.5,24.4,32.7,27.5,1.9,1.9,25.9,49.3,55,42456.73,2025-02-08T06:30,2025-02-08T18:18
2025-02-09,30.5,25.4,32.2,27.8,0.1,0.1,25.8,50.0,51,42482.46,2025-02-09T06:30,2025-02-09T18:18
2025-02-10,29.5,24.4,32.4,27.8,0.0,0.0,25.6,50.0,3,42508.39,2025-02-10T06:30,2025-02-10T18:18
2025-02-11,29.9,24.6,33.4,28.4,0.0,0.0,23.4,45.0,3,42534.49,2025-02-11T06:30,2025-02-11T18:19
2025-02-12,30.1,25.6,33.5,27.6,2.0,2.0,24.2,45.0,53,42560.75,2025-02-12T06:29,2025-02-12T18:19
2025-02-13,28.9,23.4,32.7,27.2,0.0,0.0,25.0,47.5,1,42587.12,2025-02-13T06:29,2025-02-13T18:19
2025-02-14,28.6,23.0,34.2,26.1,0.0,0.0,19.9,37.8,3,42613.6,2025-02-14T06:29,2025-02-14T18:19
2025-02-15,29.1,22.6,32.7,26.2,0.0,0.0,22.9,43.2,3,42640.14,2025-02-15T06:29,2025-02-15T18:19
2025-02-16,29.8,22.1,33.0,25.4,0.0,0.0,28.0,53.3,3,42666.75,2025-02-16T06:28,2025-02-16T18:20
2025-02-17,29.6,23.8,32.6,26.9,0.0,0.0,28.1,53.3,3,42693.63,2025-02-17T06:28,2025-02-17T18:20
2025-02-18,30.2,23.4,33.5,27.0,0.0,0.0,27.1,50.8,3,42720.86,2025-02-18T06:28,2025-02-18T18:20
2025-02-19,30.1,23.5,33.5,27.2,0.0,0.0,23.7,44.3,3,42748.4,2025-02-19T06:28,2025-02-19T18:20
2025-02-20,30.5,23.1,34.6,26.6,0.0,0.0,25.9,48.6,1,42776.24,2025-02-20T06:27,2025-02-20T18:20
2025-02-21,30.8,23.3,33.5,26.7,0.0,0.0,27.7,52.6,1,42804.35,2025-02-21T06:27,2025-02-21T18:20
2025-02-22,30.2,24.3,33.5,28.7,0.0,0.0,23.0,42.1,3,42832.7,2025-02-22T06:26,2025-02-22T18:20
2025-02-23,30.6,24.2,34.3,28.1,0.0,0.0,29.3,55.4,1,42861.26,2025-02-23T06:26,2025-02-23T18:20
2025-02-24,32.6,24.8,34.3,28.7,0.0,0.0,29.7,56.9,1,42890.02,2025-02-24T06:26,2025-02-24T18:21
2025-02-25,28.7,25.5,32.2,27.3,1.6,1.6,26.0,50.8,51,42918.94,2025-02-25T06:25,2025-02-25T18:21
2025-02-26,29.0,24.7,32.0,27.2,2.8,2.8,27.2,58.3,53,42948.01,2025-02-26T06:25,2025-02-26T18:21
2025-02-27,29.7,24.7,33.4,27.0,5.7,5.7,25.8,52.9,61,42977.2,2025-02-27T06:24,2025-02-27T18:21
2025-02-28,28.2,23.8,32.2,26.6,8.7,8.7,24.1,49.0,63,43006.49,2025-02-28T06:24,2025-02-28T18:21
2025-03-01,28.3,25.1,32.5,28.0,14.6,14.6,26.6,49.3,65,43035.85,2025-03-01T06:24,2025-03-01T18:21
2025-03-02,29.6,24.7,35.8,28.0,2.0,2.0,20.1,35.6,55,43065.26,2025-03-02T06:23,2025-03-02T18:21
2025-03-03,30.4,24.7,35.9,29.8,0.5,0.5,17.5,34.2,51,43094.7,2025-03-03T06:23,2025-03-03T18:21
