time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,29.3,20.6,33.3,24.1,0.0,0.0,12.3,33.8,3,42086.84,2024-12-28T06:18,2024-12-28T17:59
2024-12-29,27.9,20.1,31.3,23.1,4.8,4.8,14.5,41.8,63,42091.0,2024-12-29T06:18,2024-12-29T18:00
2024-12-30,28.0,20.7,32.9,24.1,4.4,4.4,11.5,31.3,61,42095.68,2024-12-30T06:19,2024-12-30T18:01
2024-12-31,26.3,22.4,29.6,26.4,3.8,3.8,16.4,46.4,53,42100.88,2024-12-31T06:19,2024-12-31T18:01
2025-01-01,24.9,22.1,28.8,25.3,14.3,14.3,14.4,48.2,63,42106.59,2025-01-01T06:20,2025-01-01T18:02
2025-01-02,26.6,21.7,28.6,24.4,0.4,0.4,13.9,39.6,51,42112.8,2025-01-02T06:20,2025-01-02T18:02
2025-01-03,27.6,21.3,30.2,23.8,0.0,0.0,17.4,46.4,3,42119.5,2025-01-03T06:21,2025-01-03T18:03
2025-01-04,26.6,20.2,29.8,22.4,0.0,0.0,13.2,34.9,3,42126.7,2025-01-04T06:21,2025-01-04T18:03
2025-01-05,29.2,20.4,32.8,23.0,0.0,0.0,13.4,36.4,3,42134.39,2025-01-05T06:21,2025-01-05T18:04
2025-01-06,28.7,18.5,32.8,20.2,0.0,0.0,13.4,36.0,3,42142.55,2025-01-06T06:22,2025-01-06T18:04
2025-01-07,29.4,18.7,33.8,20.9,0.0,0.0,10.1,29.5,3,42151.18,2025-01-07T06:22,2025-01-07T18:05
2025-01-08,28.0,20.9,32.6,24.4,1.9,1.9,11.5,33.5,53,42160.39,2025-01-08T06:22,2025-01-08T18:05
2025-01-09,28.3,21.7,32.8,25.5,0.8,0.8,13.0,37.1,51,42170.19,2025-01-09T06:23,2025-01-09T18:06
2025-01-10,28.1,22.6,31.9,26.3,0.7,0.7,17.4,47.2,51,42180.55,2025-01-10T06:23,2025-01-10T18:06
2025-01-11,25.7,20.4,28.2,22.6,26.7,26.7,16.8,43.2,63,42191.46,2025-01-11T06:23,2025-01-11T18:07
2025-01-12,26.7,21.0,30.5,24.8,77.9,77.9,13.5,41.0,65,42202.91,2025-01-12T06:24,2025-01-12T18:07
2025-01-13,28.7,20.9,32.7,24.9,0.7,0.7,15.4,43.6,51,42214.86,2025-01-13T06:24,2025-01-13T18:07
2025-01-14,24.2,22.2,29.2,26.2,30.2,30.2,8.0,26.6,63,42227.3,2025-01-14T06:24,2025-01-14T18:08
2025-01-15,26.7,21.8,30.0,25.8,7.3,7.3,10.9,32.4,63,42240.2,2025-01-15T06:24,2025-01-15T18:08
2025-01-16,25.2,22.2,29.1,25.4,2.6,2.6,11.8,36.4,55,42253.55,2025-01-16T06:25,2025-01-16T18:09
2025-01-17,27.4,21.6,30.1,24.1,1.5,1.5,16.8,45.0,51,42267.32,2025-01-17T06:25,2025-01-17T18:09
2025-01-18,26.2,22.1,29.8,26.1,12.7,12.7,12.7,37.4,63,42281.5,2025-01-18T06:25,2025-01-18T18:10
2025-01-19,23.3,21.9,28.3,25.5,65.2,65.2,7.9,31.0,65,42296.07,2025-01-19T06:25,2025-01-19T18:10
2025-01-20,27.8,21.8,31.4,25.4,2.5,2.5,16.5,45.4,53,42311.0,2025-01-20T06:25,2025-01-20T18:11
2025-01-21,26.7,22.0,31.0,25.8,6.1,6.1,10.7,31.7,61,42326.27,2025-01-21T06:26,2025-01-21T18:11
2025-01-22,27.5,20.9,32.1,24.5,2.9,2.9,7.8,28.1,53,42341.87,2025-01-22T06:26,2025-01-22T18:11
2025-01-23,29.8,20.3,34.7,23.8,0.0,0.0,14.6,41.0,3,42357.77,2025-01-23T06:26,2025-01-23T18:12
