time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,30.3,23.0,35.5,27.5,11.1,11.1,14.5,28.8,63,42394.23,2024-12-28T06:16,2024-12-28T18:02
2024-12-29,30.5,22.1,37.3,25.9,17.0,17.0,14.0,31.3,65,42397.53,2024-12-29T06:16,2024-12-29T18:03
2024-12-30,28.7,23.4,34.6,27.6,5.3,5.3,12.5,27.4,61,42401.23,2024-12-30T06:17,2024-12-30T18:03
2024-12-31,29.5,23.5,34.2,26.9,8.9,8.9,16.9,37.4,63,42405.35,2024-12-31T06:17,2024-12-31T18:04
2025-01-01,27.4,23.0,31.3,25.9,31.1,31.1,20.3,40.7,63,42409.88,2025-01-01T06:18,2025-01-01T18:04
2025-01-02,24.7,22.8,29.7,26.5,25.7,25.7,12.7,27.7,63,42414.79,2025-01-02T06:18,2025-01-02T18:05
2025-01-03,29.7,22.2,35.6,26.2,18.7,18.7,9.6,25.9,63,42420.11,2025-01-03T06:18,2025-01-03T18:05
2025-01-04,28.0,22.3,33.3,26.0,6.7,6.7,12.1,28.1,63,42425.81,2025-01-04T06:19,2025-01-04T18:06
2025-01-05,28.2,22.4,34.3,26.1,4.2,4.2,8.5,23.8,61,42431.89,2025-01-05T06:19,2025-01-05T18:06
2025-01-06,28.6,22.4,34.5,25.6,1.0,1.0,11.4,26.6,51,42438.36,2025-01-06T06:20,2025-01-06T18:07
2025-01-07,29.1,22.5,35.7,26.1,2.6,2.6,9.6,25.9,55,42445.2,2025-01-07T06:20,2025-01-07T18:07
2025-01-08,29.3,21.8,35.8,25.5,6.4,6.4,10.8,25.6,63,42452.49,2025-01-08T06:20,2025-01-08T18:08
2025-01-09,30.3,22.5,36.0,26.5,3.2,3.2,10.5,25.6,61,42460.25,2025-01-09T06:21,2025-01-09T18:08
2025-01-10,29.4,22.9,36.1,27.2,2.9,2.9,11.5,31.0,55,42468.47,2025-01-10T06:21,2025-01-10T18:09
2025-01-11,29.3,23.3,35.4,27.0,4.5,4.5,12.6,23.4,53,42477.12,2025-01-11T06:21,2025-01-11T18:09
2025-01-12,27.0,22.4,32.9,25.7,47.2,47.2,19.4,41.0,65,42486.18,2025-01-12T06:22,2025-01-12T18:10
2025-01-13,29.8,23.5,34.6,25.8,14.6,14.6,19.8,42.8,63,42495.66,2025-01-13T06:22,2025-01-13T18:10
2025-01-14,26.0,23.6,30.0,26.7,14.2,14.2,17.2,34.6,63,42505.52,2025-01-14T06:22,2025-01-14T18:11
2025-01-15,28.7,23.0,33.3,25.6,11.6,11.6,18.2,34.6,63,42515.74,2025-01-15T06:22,2025-01-15T18:11
2025-01-16,27.7,24.4,31.5,26.9,5.4,5.4,25.0,49.3,61,42526.33,2025-01-16T06:23,2025-01-16T18:11
2025-01-17,30.0,22.0,35.9,25.5,0.2,0.2,15.8,27.7,51,42537.25,2025-01-17T06:23,2025-01-17T18:12
2025-01-18,30.5,23.1,36.2,26.9,17.6,17.6,11.3,29.9,63,42548.49,2025-01-18T06:23,2025-01-18T18:12
2025-01-19,25.0,22.8,30.0,26.6,59.1,59.1,13.0,23.0,63,42560.04,2025-01-19T06:23,2025-01-19T18:13
2025-01-20,30.3,22.9,36.3,26.0,0.2,0.2,13.0,33.1,51,42571.88,2025-01-20T06:24,2025-01-20T18:13
2025-01-21,30.2,22.8,35.5,27.1,5.5,5.5,10.6,27.0,61,42584.0,2025-01-21T06:24,2025-01-21T18:13
2025-01-22,25.4,22.4,29.9,25.5,32.4,32.4,15.6,32.4,63,42596.38,2025-01-22T06:24,2025-01-22T18:14
2025-01-23,29.4,23.2,34.1,25.9,7.3,7.3,18.3,37.4,63,42608.99,2025-01-23T06:24,2025-01-23T18:14
2025-01-24,26.2,22.8,31.2,26.5,11.9,11.9,14.0,25.6,63,42621.84,2025-01-24T06:24,2025-01-24T18:15
2025-01-25,31.1,22.1,36.1,25.4,2.0,2.0,13.7,25.6,53,42634.91,2025-01-25T06:24,2025-01-25T18:15
2025-01-26,30.7,22.7,35.8,26.7,10.9,10.9,17.8,40.7,65,42648.17,2025-01-26T06:24,2025-01-26T18:15
2025-01-27,30.6,22.7,34.2,26.1,0.1,0.1,13.6,28.1,51,42661.62,2025-01-27T06:25,2025-01-27T18:16
2025-01-28,25.2,22.9,29.7,25.9,13.8,13.8,10.3,19.1,63,42675.39,2025-01-28T06:25,2025-01-28T18:16
2025-01-29,29.5,22.5,35.2,26.1,10.3,10.3,14.4,27.0,63,42689.54,2025-01-29T06:25,2025-01-29T18:16
2025-01-30,30.2,22.5,37.0,25.4,19.8,19.8,16.2,34.6,65,42704.01,2025-01-30T06:25,2025-01-30T18:16
2025-01-31,30.9,23.4,36.6,26.9,4.6,4.6,17.6,40.0,61,42718.8,2025-01-31T06:25,2025-01-31T18:17
2025-02-01,31.0,22.9,35.4,26.4,4.7,4.7,16.3,33.5,55,42733.9,2025-02-01T06:25,2025-02-01T18:17
2025-02-02,31.6,22.9,35.4,25.2,0.0,0.0,18.0,36.7,3,42749.28,2025-02-02T06:25,2025-02-02T18:17
2025-02-03,29.1,21.6,35.4,25.2,0.0,0.0,14.2,31.0,3,42764.93,2025-02-03T06:25,2025-02-03T18:17
2025-02-04,31.2,22.0,36.7,24.6,0.0,0.0,13.7,25.2,3,42780.8,2025-02-04T06:25,2025-02-04T18:18
2025-02-05,31.3,22.1,37.3,25.2,0.8,0.8,20.6,42.5,51,42796.92,2025-02-05T06:25,2025-02-05T18:18
2025-02-06,31.1,23.8,35.4,26.0,1.2,1.2,18.0,37.1,53,42813.23,2025-02-06T06:25,2025-02-06T18:18
2025-02-07,32.8,23.4,36.7,25.3,2.1,2.1,16.7,35.3,55,42829.74,2025-02-07T06:24,2025-02-07T18:18
2025-02-08,32.5,21.4,35.6,22.7,0.1,0.1,16.2,35.3,51,42846.41,2025-02-08T06:24,2025-02-08T18:18
2025-02-09,32.5,22.1,37.1,22.7,0.2,0.2,17.0,31.7,51,42863.25,2025-02-09T06:24,2025-02-09T18:19
2025-02-10,31.9,22.3,36.7,23.1,0.1,0.1,17.0,31.7,51,42880.21,2025-02-10T06:24,2025-02-10T18:19
2025-02-11,31.5,22.8,36.3,26.2,1.2,1.2,13.4,32.0,51,42897.3,2025-02-11T06:24,2025-02-11T18:19
2025-02-12,32.7,24.0,37.8,27.1,0.6,0.6,16.0,36.4,51,42914.49,2025-02-12T06:24,2025-02-12T18:19
2025-02-13,32.9,23.6,36.4,25.4,0.0,0.0,19.9,41.8,3,42931.76,2025-02-13T06:24,2025-02-13T18:19
2025-02-14,31.8,21.5,36.0,23.1,0.2,0.2,18.5,40.3,51,42949.11,2025-02-14T06:24,2025-02-14T18:19
2025-02-15,32.2,22.6,37.8,25.7,3.2,3.2,17.0,39.2,55,42966.5,2025-02-15T06:23,2025-02-15T18:19
2025-02-16,33.0,22.0,36.0,24.5,0.0,0.0,20.6,43.6,3,42983.94,2025-02-16T06:23,2025-02-16T18:20
2025-02-17,32.4,22.8,37.1,26.4,5.1,5.1,15.9,35.6,61,43001.56,2025-02-17T06:23,2025-02-17T18:20
2025-02-18,31.9,22.5,36.6,26.6,5.7,5.7,12.3,28.8,61,43019.42,2025-02-18T06:23,2025-02-18T18:20
