time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,28.0,25.9,31.7,28.9,3.3,3.3,19.2,38.2,55,41718.32,2024-12-28T06:20,2024-12-28T17:56
2024-12-29,28.1,25.4,31.2,28.7,5.2,5.2,24.7,46.8,53,41723.53,2024-12-29T06:21,2024-12-29T17:56
2024-12-30,27.0,24.7,30.8,27.1,17.9,17.9,25.1,45.7,63,41729.38,2024-12-30T06:21,2024-12-30T17:57
2024-12-31,26.9,24.0,29.8,26.7,21.5,21.5,26.4,50.4,63,41735.88,2024-12-31T06:22,2024-12-31T17:57
2025-01-01,27.8,24.0,28.6,26.3,7.0,7.0,33.3,61.2,55,41743.01,2025-01-01T06:22,2025-01-01T17:58
2025-01-02,28.6,25.2,30.3,25.7,0.0,0.0,24.2,45.4,3,41750.77,2025-01-02T06:23,2025-01-02T17:58
2025-01-03,28.2,25.7,29.4,26.6,0.0,0.0,25.5,47.5,3,41759.16,2025-01-03T06:23,2025-01-03T17:59
2025-01-04,28.0,24.8,29.6,25.6,0.0,0.0,19.4,37.8,3,41768.15,2025-01-04T06:23,2025-01-04T17:59
2025-01-05,28.5,23.9,31.0,26.5,0.0,0.0,16.8,33.1,3,41777.75,2025-01-05T06:24,2025-01-05T18:00
2025-01-06,27.4,23.5,30.6,27.3,1.3,1.3,16.5,33.1,53,41787.95,2025-01-06T06:24,2025-01-06T18:00
2025-01-07,27.0,24.6,30.6,28.2,2.7,2.7,18.3,33.5,53,41798.74,2025-01-07T06:24,2025-01-07T18:01
2025-01-08,27.4,24.2,30.5,27.4,2.5,2.5,22.0,41.8,51,41810.25,2025-01-08T06:25,2025-01-08T18:01
2025-01-09,28.0,25.3,30.8,27.7,1.0,1.0,19.2,36.4,51,41822.48,2025-01-09T06:25,2025-01-09T18:02
2025-01-10,27.3,24.8,31.1,27.3,2.0,2.0,25.7,48.2,53,41835.44,2025-01-10T06:25,2025-01-10T18:02
2025-01-11,27.2,23.1,28.5,23.9,7.0,7.0,30.8,56.2,61,41849.07,2025-01-11T06:25,2025-01-11T18:03
2025-01-12,27.4,24.0,31.7,26.5,7.8,7.8,22.5,41.4,55,41863.37,2025-01-12T06:26,2025-01-12T18:03
2025-01-13,28.2,24.6,31.5,28.3,2.3,2.3,22.8,42.8,53,41878.3,2025-01-13T06:26,2025-01-13T18:04
2025-01-14,26.2,23.4,28.7,26.0,43.9,43.9,23.4,43.6,63,41893.83,2025-01-14T06:26,2025-01-14T18:04
2025-01-15,26.9,24.5,30.1,27.4,5.7,5.7,23.8,47.2,61,41909.95,2025-01-15T06:26,2025-01-15T18:05
2025-01-16,27.6,25.0,29.6,26.2,3.3,3.3,29.4,55.8,53,41926.62,2025-01-16T06:27,2025-01-16T18:05
2025-01-17,27.0,25.2,28.9,26.3,3.8,3.8,28.4,51.8,53,41943.82,2025-01-17T06:27,2025-01-17T18:06
2025-01-18,26.2,24.4,29.1,26.4,20.4,20.4,25.6,44.3,63,41961.52,2025-01-18T06:27,2025-01-18T18:06
2025-01-19,26.7,23.5,30.3,26.5,21.2,21.2,21.5,37.1,63,41979.7,2025-01-19T06:27,2025-01-19T18:07
2025-01-20,27.4,23.6,31.1,27.1,5.1,5.1,24.6,46.1,55,41998.34,2025-01-20T06:27,2025-01-20T18:07
2025-01-21,27.2,24.0,29.8,26.9,8.9,8.9,21.4,40.7,61,42017.4,2025-01-21T06:27,2025-01-21T18:08
2025-01-22,26.8,24.1,31.1,27.4,10.4,10.4,17.9,35.3,61,42036.88,2025-01-22T06:28,2025-01-22T18:08
2025-01-23,28.1,23.8,31.7,27.1,1.8,1.8,20.8,38.9,53,42056.72,2025-01-23T06:28,2025-01-23T18:09
2025-01-24,28.2,24.8,30.9,26.9,0.4,0.4,18.0,34.6,51,42076.93,2025-01-24T06:28,2025-01-24T18:09
2025-01-25,27.7,25.5,30.4,27.0,1.6,1.6,23.2,42.1,53,42097.46,2025-01-25T06:28,2025-01-25T18:09
2025-01-26,27.5,25.5,30.3,26.4,0.2,0.2,23.9,43.9,51,42118.31,2025-01-26T06:28,2025-01-26T18:10
2025-01-27,27.7,24.7,30.0,26.8,0.1,0.1,20.8,40.7,51,42139.46,2025-01-27T06:28,2025-01-27T18:10
2025-01-28,28.4,25.3,32.2,26.6,0.0,0.0,16.9,33.5,3,42161.1,2025-01-28T06:28,2025-01-28T18:11
2025-01-29,27.2,25.7,30.0,27.8,3.2,3.2,25.8,46.8,53,42183.3,2025-01-29T06:28,2025-01-29T18:11
2025-01-30,27.8,24.2,32.3,27.2,8.6,8.6,21.3,36.7,63,42206.04,2025-01-30T06:28,2025-01-30T18:11
2025-01-31,27.9,24.7,32.5,28.9,3.9,3.9,21.1,40.7,53,42229.27,2025-01-31T06:28,2025-01-31T18:12
2025-02-01,28.5,25.1,34.0,29.5,1.5,1.5,17.3,34.2,51,42252.96,2025-02-01T06:28,2025-02-01T18:12
