time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,19.4,10.7,19.7,10.4,0.7,0.7,10.3,27.4,51,42204.15,2024-12-28T06:16,2024-12-28T18:00
2024-12-29,18.6,10.1,20.3,9.4,6.9,6.9,9.6,25.6,63,42207.97,2024-12-29T06:17,2024-12-29T18:00
2024-12-30,19.8,12.7,21.1,13.2,5.2,5.2,8.5,26.3,55,42212.29,2024-12-30T06:17,2024-12-30T18:01
2024-12-31,16.5,14.7,17.2,14.8,16.9,16.9,15.9,36.0,61,42217.07,2024-12-31T06:18,2024-12-31T18:01
2025-01-01,15.7,14.4,15.9,13.8,50.9,50.9,15.5,40.0,63,42222.32,2025-01-01T06:18,2025-01-01T18:02
2025-01-02,16.0,12.8,15.9,12.7,13.9,13.9,12.0,28.8,61,42228.04,2025-01-02T06:18,2025-01-02T18:02
2025-01-03,18.1,12.8,19.1,12.6,6.4,6.4,10.1,28.8,61,42234.21,2025-01-03T06:19,2025-01-03T18:03
2025-01-04,20.2,12.2,22.0,12.4,1.6,1.6,3.3,14.8,53,42240.84,2025-01-04T06:19,2025-01-04T18:03
2025-01-05,19.8,13.1,20.7,13.7,1.5,1.5,5.5,18.0,53,42247.92,2025-01-05T06:20,2025-01-05T18:04
2025-01-06,21.1,11.3,22.8,11.2,0.5,0.5,5.1,17.6,51,42255.43,2025-01-06T06:20,2025-01-06T18:04
2025-01-07,21.0,10.6,23.8,8.4,0.9,0.9,4.3,17.3,53,42263.38,2025-01-07T06:20,2025-01-07T18:05
2025-01-08,20.6,10.9,22.8,10.4,3.0,3.0,8.2,21.6,55,42271.86,2025-01-08T06:21,2025-01-08T18:05
2025-01-09,19.1,12.4,20.9,12.8,4.1,4.1,7.9,22.7,53,42280.88,2025-01-09T06:21,2025-01-09T18:06
2025-01-10,18.8,14.1,21.0,14.7,2.2,2.2,9.9,28.8,53,42290.42,2025-01-10T06:21,2025-01-10T18:06
2025-01-11,18.2,13.3,18.9,13.7,41.4,41.4,8.4,24.1,65,42300.47,2025-01-11T06:22,2025-01-11T18:07
