time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,29.3,22.8,34.3,27.3,1.2,1.2,13.9,26.6,53,41998.68,2024-12-28T06:17,2024-12-28T17:57
2024-12-29,28.6,22.6,33.5,27.2,10.3,10.3,15.8,31.7,61,42003.09,2024-12-29T06:18,2024-12-29T17:58
2024-12-30,28.5,23.8,33.5,28.4,18.4,18.4,14.2,30.2,63,42008.05,2024-12-30T06:18,2024-12-30T17:58
2024-12-31,26.8,23.1,31.3,27.1,30.2,30.2,18.2,38.2,63,42013.55,2024-12-31T06:18,2024-12-31T17:59
2025-01-01,26.0,22.5,29.6,27.0,37.9,37.9,17.8,38.5,63,42019.61,2025-01-01T06:19,2025-01-01T17:59
2025-01-02,28.1,22.2,31.1,25.8,0.7,0.7,14.9,30.6,51,42026.18,2025-01-02T06:19,2025-01-02T18:00
2025-01-03,29.1,22.6,31.5,26.7,0.0,0.0,17.5,34.6,3,42033.29,2025-01-03T06:20,2025-01-03T18:00
2025-01-04,27.7,21.4,29.9,24.9,0.2,0.2,12.5,25.9,51,42040.93,2025-01-04T06:20,2025-01-04T18:01
2025-01-05,29.5,20.6,33.6,24.0,0.1,0.1,13.2,25.9,51,42049.07,2025-01-05T06:20,2025-01-05T18:01
2025-01-06,29.6,21.0,34.6,24.5,0.2,0.2,11.1,24.8,51,42057.71,2025-01-06T06:21,2025-01-06T18:02
2025-01-07,28.4,22.2,33.9,26.8,1.9,1.9,12.8,28.8,53,42066.86,2025-01-07T06:21,2025-01-07T18:02
2025-01-08,27.6,22.9,32.1,28.1,4.2,4.2,12.8,27.7,53,42076.62,2025-01-08T06:21,2025-01-08T18:03
2025-01-09,28.5,23.4,32.6,28.2,4.2,4.2,14.5,28.4,61,42087.0,2025-01-09T06:22,2025-01-09T18:03
2025-01-10,28.0,23.6,33.0,28.2,6.8,6.8,17.0,34.9,55,42097.98,2025-01-10T06:22,2025-01-10T18:04
