time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,30.5,23.1,36.1,27.6,2.9,2.9,7.7,19.1,61,42262.7,2024-12-28T06:17,2024-12-28T18:02
2024-12-29,30.5,21.5,36.5,25.3,9.7,9.7,9.8,28.1,63,42266.36,2024-12-29T06:18,2024-12-29T18:02
2024-12-30,31.3,22.7,38.2,27.4,18.6,18.6,9.0,28.8,63,42270.49,2024-12-30T06:18,2024-12-30T18:03
2024-12-31,29.6,22.8,35.5,27.7,9.0,9.0,5.9,16.6,63,42275.07,2024-12-31T06:19,2024-12-31T18:03
2025-01-01,25.7,22.8,31.5,27.0,31.5,31.5,6.8,20.2,63,42280.1,2025-01-01T06:19,2025-01-01T18:04
2025-01-02,26.3,22.6,32.0,27.1,4.7,4.7,7.4,15.5,53,42285.57,2025-01-02T06:20,2025-01-02T18:04
2025-01-03,30.7,22.6,36.4,27.0,4.2,4.2,9.1,26.6,63,42291.48,2025-01-03T06:20,2025-01-03T18:05
2025-01-04,29.1,22.2,34.6,26.3,7.6,7.6,7.3,23.4,63,42297.82,2025-01-04T06:20,2025-01-04T18:05
2025-01-05,29.9,22.2,37.2,26.3,2.7,2.7,9.2,27.0,53,42304.59,2025-01-05T06:21,2025-01-05T18:06
2025-01-06,31.0,21.7,36.1,25.4,0.0,0.0,7.8,21.6,3,42311.78,2025-01-06T06:21,2025-01-06T18:06
2025-01-07,31.2,20.7,36.7,23.6,0.0,0.0,9.5,22.3,3,42319.39,2025-01-07T06:22,2025-01-07T18:07
2025-01-08,31.2,21.5,36.5,25.0,0.4,0.4,11.2,28.1,51,42327.5,2025-01-08T06:22,2025-01-08T18:07
2025-01-09,31.4,22.6,37.6,27.1,0.3,0.3,7.0,22.0,51,42336.13,2025-01-09T06:22,2025-01-09T18:08
2025-01-10,31.8,22.3,38.8,26.4,1.9,1.9,11.1,29.5,53,42345.27,2025-01-10T06:23,2025-01-10T18:08
2025-01-11,29.5,22.0,34.9,26.2,11.9,11.9,8.9,24.8,63,42354.89,2025-01-11T06:23,2025-01-11T18:09
2025-01-12,28.8,21.3,35.7,25.0,42.8,42.8,8.6,22.7,63,42364.97,2025-01-12T06:23,2025-01-12T18:09
2025-01-13,30.0,21.9,37.0,26.5,13.5,13.5,6.8,17.3,65,42375.5,2025-01-13T06:23,2025-01-13T18:10
2025-01-14,27.2,22.8,32.1,26.8,10.9,10.9,7.9,19.8,63,42386.46,2025-01-14T06:24,2025-01-14T18:10
2025-01-15,26.6,22.1,31.8,25.8,9.1,9.1,7.9,16.6,63,42397.84,2025-01-15T06:24,2025-01-15T18:11
2025-01-16,27.4,22.2,32.6,26.7,3.1,3.1,7.2,17.6,53,42409.6,2025-01-16T06:24,2025-01-16T18:11
2025-01-17,30.8,21.6,36.2,25.7,0.0,0.0,7.3,22.3,3,42421.74,2025-01-17T06:24,2025-01-17T18:11
2025-01-18,31.0,22.2,36.8,26.9,7.3,7.3,7.9,21.2,61,42434.25,2025-01-18T06:25,2025-01-18T18:12
2025-01-19,23.6,22.1,29.0,26.2,49.6,49.6,6.3,11.9,63,42447.08,2025-01-19T06:25,2025-01-19T18:12
2025-01-20,30.9,22.1,37.1,26.4,1.1,1.1,6.9,21.6,53,42460.24,2025-01-20T06:25,2025-01-20T18:13
2025-01-21,29.0,22.2,35.3,27.1,4.9,4.9,7.7,22.7,61,42473.71,2025-01-21T06:25,2025-01-21T18:13
2025-01-22,27.5,22.8,32.7,27.3,4.0,4.0,7.1,23.8,61,42487.46,2025-01-22T06:25,2025-01-22T18:14
2025-01-23,30.1,22.6,36.0,26.9,4.8,4.8,7.3,24.1,63,42501.48,2025-01-23T06:26,2025-01-23T18:14
2025-01-24,28.5,22.6,34.1,27.2,1.3,1.3,5.0,18.4,53,42515.77,2025-01-24T06:26,2025-01-24T18:14
2025-01-25,30.6,22.1,36.8,26.7,5.8,5.8,10.5,28.4,63,42530.28,2025-01-25T06:26,2025-01-25T18:15
2025-01-26,30.8,22.0,37.2,26.4,0.5,0.5,6.2,22.3,51,42545.02,2025-01-26T06:26,2025-01-26T18:15
2025-01-27,30.8,22.9,35.2,27.7,0.0,0.0,10.1,23.0,3,42559.96,2025-01-27T06:26,2025-01-27T18:15
2025-01-28,28.8,22.2,32.8,26.5,2.8,2.8,5.6,17.3,53,42575.27,2025-01-28T06:26,2025-01-28T18:16
2025-01-29,31.1,22.4,37.0,27.2,4.6,4.6,7.4,20.9,61,42590.98,2025-01-29T06:26,2025-01-29T18:16
2025-01-30,29.9,23.3,37.3,28.4,8.0,8.0,10.6,27.7,63,42607.06,2025-01-30T06:26,2025-01-30T18:16
2025-01-31,30.6,23.3,37.8,28.5,0.6,0.6,7.9,22.3,51,42623.5,2025-01-31T06:26,2025-01-31T18:16
2025-02-01,32.5,23.1,38.4,27.7,3.0,3.0,7.0,25.6,61,42640.26,2025-02-01T06:26,2025-02-01T18:17
2025-02-02,33.7,21.0,38.8,24.3,0.0,0.0,5.4,16.2,3,42657.34,2025-02-02T06:26,2025-02-02T18:17
2025-02-03,31.3,20.8,36.8,23.8,0.0,0.0,7.8,19.1,3,42674.71,2025-02-03T06:26,2025-02-03T18:17
2025-02-04,31.8,20.3,36.8,23.3,0.4,0.4,11.8,31.0,51,42692.35,2025-02-04T06:26,2025-02-04T18:18
2025-02-05,31.3,22.5,37.4,27.1,0.4,0.4,10.4,27.0,51,42710.24,2025-02-05T06:26,2025-02-05T18:18
2025-02-06,32.1,21.6,37.3,25.5,1.4,1.4,7.3,23.8,53,42728.36,2025-02-06T06:26,2025-02-06T18:18
