time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,28.1,25.2,32.3,28.9,1.0,1.0,17.0,38.5,51,41866.12,2024-12-28T06:18,2024-12-28T17:55
2024-12-29,28.6,24.7,33.2,28.9,2.4,2.4,20.8,43.6,53,41870.89,2024-12-29T06:18,2024-12-29T17:56
2024-12-30,27.8,24.4,32.6,27.7,19.8,19.8,24.4,45.0,63,41876.28,2024-12-30T06:18,2024-12-30T17:56
2024-12-31,26.5,23.7,30.4,27.1,22.2,22.2,21.8,45.7,63,41882.25,2024-12-31T06:19,2024-12-31T17:57
2025-01-01,26.9,24.0,28.7,27.0,19.5,19.5,24.6,47.5,63,41888.82,2025-01-01T06:19,2025-01-01T17:57
2025-01-02,28.1,25.3,30.3,26.7,0.2,0.2,19.9,41.4,51,41895.96,2025-01-02T06:20,2025-01-02T17:58
2025-01-03,28.3,25.2,29.6,26.7,0.0,0.0,25.1,52.2,3,41903.67,2025-01-03T06:20,2025-01-03T17:59
2025-01-04,28.2,23.9,31.0,25.9,0.0,0.0,18.1,38.9,3,41911.94,2025-01-04T06:21,2025-01-04T17:59
2025-01-05,28.4,23.2,30.9,25.8,0.0,0.0,16.5,34.9,3,41920.77,2025-01-05T06:21,2025-01-05T18:00
2025-01-06,27.8,21.7,31.8,24.9,1.0,1.0,16.0,34.6,51,41930.15,2025-01-06T06:21,2025-01-06T18:00
2025-01-07,27.4,23.5,31.5,28.5,1.5,1.5,17.7,37.4,51,41940.08,2025-01-07T06:22,2025-01-07T18:01
2025-01-08,27.1,24.3,32.1,28.1,2.2,2.2,18.3,37.1,53,41950.66,2025-01-08T06:22,2025-01-08T18:01
2025-01-09,28.2,24.6,31.4,28.3,6.1,6.1,19.4,40.0,63,41961.92,2025-01-09T06:22,2025-01-09T18:02
2025-01-10,27.4,23.9,31.0,27.5,3.8,3.8,23.2,46.4,53,41973.83,2025-01-10T06:22,2025-01-10T18:02
2025-01-11,26.0,23.1,28.7,25.6,45.9,45.9,26.7,47.9,63,41986.38,2025-01-11T06:23,2025-01-11T18:03
2025-01-12,27.9,23.8,31.7,27.2,8.7,8.7,20.1,41.4,55,41999.53,2025-01-12T06:23,2025-01-12T18:03
2025-01-13,28.5,23.9,32.3,28.4,3.3,3.3,21.0,43.6,53,42013.27,2025-01-13T06:23,2025-01-13T18:04
2025-01-14,25.8,23.5,29.4,27.0,38.1,38.1,18.3,36.0,63,42027.55,2025-01-14T06:24,2025-01-14T18:04
2025-01-15,27.4,23.9,30.8,27.2,5.8,5.8,19.9,44.3,53,42042.38,2025-01-15T06:24,2025-01-15T18:04
2025-01-16,28.0,23.5,31.2,26.5,6.3,6.3,25.6,52.6,61,42057.72,2025-01-16T06:24,2025-01-16T18:05
2025-01-17,27.9,24.6,29.9,26.7,2.3,2.3,25.5,50.8,53,42073.54,2025-01-17T06:24,2025-01-17T18:05
2025-01-18,26.1,23.9,29.7,27.1,17.1,17.1,20.3,47.2,63,42089.83,2025-01-18T06:24,2025-01-18T18:06
2025-01-19,25.8,23.6,30.9,27.3,19.3,19.3,16.4,33.1,63,42106.56,2025-01-19T06:25,2025-01-19T18:06
2025-01-20,27.4,23.6,31.5,27.4,7.3,7.3,20.3,43.2,61,42123.71,2025-01-20T06:25,2025-01-20T18:07
2025-01-21,27.3,23.9,31.7,27.7,6.3,6.3,19.2,38.9,55,42141.25,2025-01-21T06:25,2025-01-21T18:07
2025-01-22,27.1,23.1,32.2,27.1,18.6,18.6,14.4,37.4,63,42159.17,2025-01-22T06:25,2025-01-22T18:08
2025-01-23,28.5,24.0,32.3,27.8,1.2,1.2,17.7,37.8,53,42177.44,2025-01-23T06:25,2025-01-23T18:08
2025-01-24,28.0,24.6,31.9,27.7,0.1,0.1,15.7,33.1,51,42196.03,2025-01-24T06:25,2025-01-24T18:08
2025-01-25,27.7,25.6,30.5,27.5,2.7,2.7,19.7,41.0,61,42214.93,2025-01-25T06:25,2025-01-25T18:09
2025-01-26,27.9,25.5,31.2,27.1,1.2,1.2,22.6,46.8,53,42234.12,2025-01-26T06:25,2025-01-26T18:09
2025-01-27,27.6,24.5,30.1,26.9,0.0,0.0,20.5,42.5,3,42253.58,2025-01-27T06:25,2025-01-27T18:10
2025-01-28,28.2,24.9,30.7,26.8,0.0,0.0,15.4,33.5,3,42273.5,2025-01-28T06:25,2025-01-28T18:10
2025-01-29,27.9,25.1,31.1,28.1,7.1,7.1,24.8,51.1,63,42293.94,2025-01-29T06:25,2025-01-29T18:10
2025-01-30,28.4,24.4,33.6,28.3,13.6,13.6,15.4,34.6,63,42314.87,2025-01-30T06:25,2025-01-30T18:11
2025-01-31,28.3,23.9,33.1,29.0,3.3,3.3,21.8,43.9,53,42336.25,2025-01-31T06:25,2025-01-31T18:11
2025-02-01,28.6,24.7,33.8,29.1,3.6,3.6,16.7,36.4,53,42358.07,2025-02-01T06:25,2025-02-01T18:11
