time,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,precipitation_sum,rain_sum,wind_speed_10m_max,wind_gusts_10m_max,weather_code,daylight_duration,sunrise,sunset
2024-12-28,28.8,22.9,32.7,26.7,0.4,0.4,18.4,36.4,51,41821.83,2024-12-28T06:20,2024-12-28T17:58
2024-12-29,29.0,22.8,32.7,26.7,1.6,1.6,20.0,37.4,53,41826.74,2024-12-29T06:21,2024-12-29T17:58
2024-12-30,28.3,23.3,33.0,26.9,6.3,6.3,19.2,40.0,61,41832.27,2024-12-30T06:21,2024-12-30T17:59
2024-12-31,26.0,22.6,29.0,26.1,14.0,14.0,23.4,45.0,63,41838.39,2024-12-31T06:22,2024-12-31T17:59
2025-01-01,26.3,22.5,29.6,25.2,9.3,9.3,23.3,45.0,63,41845.13,2025-01-01T06:22,2025-01-01T18:00
2025-01-02,28.3,21.9,29.5,24.2,0.0,0.0,22.3,42.1,3,41852.46,2025-01-02T06:23,2025-01-02T18:00
2025-01-03,28.0,21.9,29.7,23.9,0.0,0.0,23.9,47.9,3,41860.37,2025-01-03T06:23,2025-01-03T18:01
2025-01-04,27.7,20.1,29.6,22.4,0.0,0.0,16.6,36.0,3,41868.86,2025-01-04T06:23,2025-01-04T18:01
2025-01-05,28.4,20.2,31.2,22.3,0.0,0.0,18.6,36.4,3,41877.92,2025-01-05T06:24,2025-01-05T18:02
2025-01-06,28.9,19.8,32.2,22.1,0.0,0.0,15.3,29.5,3,41887.55,2025-01-06T06:24,2025-01-06T18:02
2025-01-07,27.4,21.5,31.8,25.5,1.8,1.8,15.9,32.0,53,41897.73,2025-01-07T06:24,2025-01-07T18:03
2025-01-08,27.5,22.5,30.9,25.8,1.8,1.8,16.1,32.0,53,41908.59,2025-01-08T06:25,2025-01-08T18:03
2025-01-09,27.8,22.0,30.5,25.2,0.5,0.5,18.6,36.4,51,41920.14,2025-01-09T06:25,2025-01-09T18:04
